"kingdom","phylum","class","species","nobs","city"
"Animalia","Arthropoda","Insecta","Agraulis vanillae",20,"Mesa"
"Animalia","Arthropoda","Insecta","Apis mellifera",120,"Mesa"
"Animalia","Arthropoda","Insecta","Asphondylia auripila",19,"Mesa"
"Animalia","Arthropoda","Insecta","Danaus gilippus",37,"Mesa"
"Animalia","Arthropoda","Insecta","Danaus plexippus",16,"Mesa"
"Animalia","Arthropoda","Insecta","Gryllodes sigillatus",11,"Mesa"
"Animalia","Arthropoda","Insecta","Hippodamia convergens",14,"Mesa"
"Animalia","Arthropoda","Insecta","Hylephila phyleus",33,"Mesa"
"Animalia","Arthropoda","Insecta","Hyles lineata",15,"Mesa"
"Animalia","Arthropoda","Insecta","Lygaeus kalmii",26,"Mesa"
"Animalia","Arthropoda","Insecta","Lytta magister",17,"Mesa"
"Animalia","Arthropoda","Insecta","Pachydiplax longipennis",16,"Mesa"
"Animalia","Arthropoda","Insecta","Periplaneta americana",13,"Mesa"
"Animalia","Arthropoda","Insecta","Pontia protodice",34,"Mesa"
"Animalia","Arthropoda","Insecta","Strymon melinus",13,"Mesa"
"Animalia","Arthropoda","Insecta","Trimerotropis pallidipennis",22,"Mesa"
"Animalia","Arthropoda","Insecta","Vanessa cardui",34,"Mesa"
"Animalia","Arthropoda","Insecta","Xylocopa sonorina",23,"Mesa"
"Animalia","Arthropoda","Malacostraca","Faxonius virilis",11,"Mesa"
"Animalia","Arthropoda",NA,"Centruroides sculpturatus",26,"Mesa"
"Animalia","Chordata","Aves","Accipiter cooperii",130,"Mesa"
"Animalia","Chordata","Aves","Accipiter striatus",40,"Mesa"
"Animalia","Chordata","Aves","Actitis macularius",47,"Mesa"
"Animalia","Chordata","Aves","Aechmophorus occidentalis",18,"Mesa"
"Animalia","Chordata","Aves","Aeronautes saxatalis",21,"Mesa"
"Animalia","Chordata","Aves","Agapornis roseicollis",285,"Mesa"
"Animalia","Chordata","Aves","Agelaius phoeniceus",111,"Mesa"
"Animalia","Chordata","Aves","Amphispiza bilineata",84,"Mesa"
"Animalia","Chordata","Aves","Anas acuta",56,"Mesa"
"Animalia","Chordata","Aves","Anas americana",157,"Mesa"
"Animalia","Chordata","Aves","Anas clypeata",129,"Mesa"
"Animalia","Chordata","Aves","Anas crecca",66,"Mesa"
"Animalia","Chordata","Aves","Anas cyanoptera",71,"Mesa"
"Animalia","Chordata","Aves","Anas discors",14,"Mesa"
"Animalia","Chordata","Aves","Anas platyrhynchos",380,"Mesa"
"Animalia","Chordata","Aves","Anas strepera",57,"Mesa"
"Animalia","Chordata","Aves","Anser albifrons",13,"Mesa"
"Animalia","Chordata","Aves","Anthus rubescens",18,"Mesa"
"Animalia","Chordata","Aves","Archilochus alexandri",82,"Mesa"
"Animalia","Chordata","Aves","Ardea alba",213,"Mesa"
"Animalia","Chordata","Aves","Ardea herodias",203,"Mesa"
"Animalia","Chordata","Aves","Athene cunicularia",34,"Mesa"
"Animalia","Chordata","Aves","Auriparus flaviceps",488,"Mesa"
"Animalia","Chordata","Aves","Aythya affinis",47,"Mesa"
"Animalia","Chordata","Aves","Aythya americana",23,"Mesa"
"Animalia","Chordata","Aves","Aythya collaris",209,"Mesa"
"Animalia","Chordata","Aves","Aythya valisineria",29,"Mesa"
"Animalia","Chordata","Aves","Bombycilla cedrorum",29,"Mesa"
"Animalia","Chordata","Aves","Branta canadensis",256,"Mesa"
"Animalia","Chordata","Aves","Bubo virginianus",53,"Mesa"
"Animalia","Chordata","Aves","Bubulcus ibis",16,"Mesa"
"Animalia","Chordata","Aves","Bucephala albeola",28,"Mesa"
"Animalia","Chordata","Aves","Bucephala clangula",13,"Mesa"
"Animalia","Chordata","Aves","Buteo jamaicensis",211,"Mesa"
"Animalia","Chordata","Aves","Butorides virescens",124,"Mesa"
"Animalia","Chordata","Aves","Cairina moschata",14,"Mesa"
