"kingdom","phylum","class","species","nobs","city"
"Animalia","Arthropoda","Insecta","Acronicta americana",31,"Detroit"
"Animalia","Arthropoda","Insecta","Antheraea polyphemus",13,"Detroit"
"Animalia","Arthropoda","Insecta","Apis mellifera",58,"Detroit"
"Animalia","Arthropoda","Insecta","Atteva aurea",23,"Detroit"
"Animalia","Arthropoda","Insecta","Bombus impatiens",33,"Detroit"
"Animalia","Arthropoda","Insecta","Calopteryx maculata",11,"Detroit"
"Animalia","Arthropoda","Insecta","Chauliognathus marginatus",12,"Detroit"
"Animalia","Arthropoda","Insecta","Cicindela sexguttata",11,"Detroit"
"Animalia","Arthropoda","Insecta","Daktulosphaira vitifoliae",13,"Detroit"
"Animalia","Arthropoda","Insecta","Danaus plexippus",108,"Detroit"
"Animalia","Arthropoda","Insecta","Dolichovespula maculata",18,"Detroit"
"Animalia","Arthropoda","Insecta","Elkalyce comyntas",13,"Detroit"
"Animalia","Arthropoda","Insecta","Epargyreus clarus",22,"Detroit"
"Animalia","Arthropoda","Insecta","Euchaetes egle",15,"Detroit"
"Animalia","Arthropoda","Insecta","Euptychia cymela",11,"Detroit"
"Animalia","Arthropoda","Insecta","Graphocephala coccinea",20,"Detroit"
"Animalia","Arthropoda","Insecta","Halyomorpha halys",35,"Detroit"
"Animalia","Arthropoda","Insecta","Harmonia axyridis",25,"Detroit"
"Animalia","Arthropoda","Insecta","Hyphantria cunea",15,"Detroit"
"Animalia","Arthropoda","Insecta","Leptinotarsa juncta",14,"Detroit"
"Animalia","Arthropoda","Insecta","Limenitis archippus",15,"Detroit"
"Animalia","Arthropoda","Insecta","Limenitis astyanax",17,"Detroit"
"Animalia","Arthropoda","Insecta","Lophocampa caryae",21,"Detroit"
"Animalia","Arthropoda","Insecta","Lucanus capreolus",11,"Detroit"
"Animalia","Arthropoda","Insecta","Lygaeus kalmii",12,"Detroit"
"Animalia","Arthropoda","Insecta","Lymantria dispar",20,"Detroit"
"Animalia","Arthropoda","Insecta","Melanoplus differentialis",23,"Detroit"
"Animalia","Arthropoda","Insecta","Mythimna unipuncta",11,"Detroit"
"Animalia","Arthropoda","Insecta","Oncopeltus fasciatus",31,"Detroit"
"Animalia","Arthropoda","Insecta","Pachydiplax longipennis",12,"Detroit"
"Animalia","Arthropoda","Insecta","Papilio cresphontes",18,"Detroit"
"Animalia","Arthropoda","Insecta","Papilio glaucus",12,"Detroit"
"Animalia","Arthropoda","Insecta","Papilio polibetes",86,"Detroit"
"Animalia","Arthropoda","Insecta","Pelidnota punctata",14,"Detroit"
"Animalia","Arthropoda","Insecta","Phyciodes tharos",22,"Detroit"
"Animalia","Arthropoda","Insecta","Phyllopalpus pulchellus",13,"Detroit"
"Animalia","Arthropoda","Insecta","Pieris rapae",28,"Detroit"
"Animalia","Arthropoda","Insecta","Plathemis lydia",15,"Detroit"
"Animalia","Arthropoda","Insecta","Polistes dominula",21,"Detroit"
"Animalia","Arthropoda","Insecta","Polistes fuscatus",14,"Detroit"
"Animalia","Arthropoda","Insecta","Polites peckius",22,"Detroit"
"Animalia","Arthropoda","Insecta","Polygonia interrogationis",14,"Detroit"
"Animalia","Arthropoda","Insecta","Popillia japonica",14,"Detroit"
"Animalia","Arthropoda","Insecta","Prenolepis imparis",13,"Detroit"
"Animalia","Arthropoda","Insecta","Pyrrharctia isabella",27,"Detroit"
"Animalia","Arthropoda","Insecta","Tenodera sinensis",21,"Detroit"
"Animalia","Arthropoda","Insecta","Tetraopes tetrophthalmus",23,"Detroit"
"Animalia","Arthropoda","Insecta","Vanessa atalanta",29,"Detroit"
"Animalia","Arthropoda","Insecta","Vanessa cardui",17,"Detroit"
"Animalia","Arthropoda","Insecta","Vespula germanica",11,"Detroit"
"Animalia","Arthropoda","Insecta","Xenox tigrinus",12,"Detroit"
