"kingdom","phylum","class","species","nobs","city"
"Animalia","Arthropoda","Chilopoda","Scutigera coleoptrata",15,"Minneapolis"
"Animalia","Arthropoda","Insecta","Agapostemon virescens",20,"Minneapolis"
"Animalia","Arthropoda","Insecta","Amphipyra pyramidoides",17,"Minneapolis"
"Animalia","Arthropoda","Insecta","Anax junius",43,"Minneapolis"
"Animalia","Arthropoda","Insecta","Ancyloxypha numitor",29,"Minneapolis"
"Animalia","Arthropoda","Insecta","Andrena dunningi",15,"Minneapolis"
"Animalia","Arthropoda","Insecta","Antheraea polyphemus",25,"Minneapolis"
"Animalia","Arthropoda","Insecta","Apis mellifera",167,"Minneapolis"
"Animalia","Arthropoda","Insecta","Arigomphus cornutus",12,"Minneapolis"
"Animalia","Arthropoda","Insecta","Asterocampa celtis",22,"Minneapolis"
"Animalia","Arthropoda","Insecta","Boisea trivittata",46,"Minneapolis"
"Animalia","Arthropoda","Insecta","Bombus affinis",151,"Minneapolis"
"Animalia","Arthropoda","Insecta","Bombus auricomus",124,"Minneapolis"
"Animalia","Arthropoda","Insecta","Bombus bimaculatus",189,"Minneapolis"
"Animalia","Arthropoda","Insecta","Bombus citrinus",72,"Minneapolis"
"Animalia","Arthropoda","Insecta","Bombus fervidus",57,"Minneapolis"
"Animalia","Arthropoda","Insecta","Bombus griseocollis",263,"Minneapolis"
"Animalia","Arthropoda","Insecta","Bombus impatiens",670,"Minneapolis"
"Animalia","Arthropoda","Insecta","Bombus rufocinctus",105,"Minneapolis"
"Animalia","Arthropoda","Insecta","Bombus ternarius",13,"Minneapolis"
"Animalia","Arthropoda","Insecta","Bombus vagans",38,"Minneapolis"
"Animalia","Arthropoda","Insecta","Calopteryx maculata",43,"Minneapolis"
"Animalia","Arthropoda","Insecta","Camponotus pennsylvanicus",15,"Minneapolis"
"Animalia","Arthropoda","Insecta","Celithemis eponina",12,"Minneapolis"
"Animalia","Arthropoda","Insecta","Chauliognathus pensylvanicus",80,"Minneapolis"
"Animalia","Arthropoda","Insecta","Chrysopa oculata",12,"Minneapolis"
"Animalia","Arthropoda","Insecta","Cicindela sexguttata",37,"Minneapolis"
"Animalia","Arthropoda","Insecta","Coleomegilla maculata",12,"Minneapolis"
"Animalia","Arthropoda","Insecta","Colias eurytheme",22,"Minneapolis"
"Animalia","Arthropoda","Insecta","Colias philodice",14,"Minneapolis"
"Animalia","Arthropoda","Insecta","Colletes inaequalis",18,"Minneapolis"
"Animalia","Arthropoda","Insecta","Cosmopepla lintneriana",14,"Minneapolis"
"Animalia","Arthropoda","Insecta","Ctenucha virginica",15,"Minneapolis"
"Animalia","Arthropoda","Insecta","Cyaniris neglecta",20,"Minneapolis"
"Animalia","Arthropoda","Insecta","Danaus plexippus",200,"Minneapolis"
"Animalia","Arthropoda","Insecta","Delphinia picta",23,"Minneapolis"
"Animalia","Arthropoda","Insecta","Diabrotica undecimpunctata",23,"Minneapolis"
"Animalia","Arthropoda","Insecta","Dolichovespula maculata",41,"Minneapolis"
"Animalia","Arthropoda","Insecta","Elkalyce comyntas",41,"Minneapolis"
"Animalia","Arthropoda","Insecta","Epargyreus clarus",20,"Minneapolis"
"Animalia","Arthropoda","Insecta","Eristalis dimidiata",21,"Minneapolis"
"Animalia","Arthropoda","Insecta","Eristalis stipator",16,"Minneapolis"
"Animalia","Arthropoda","Insecta","Eristalis transversa",15,"Minneapolis"
"Animalia","Arthropoda","Insecta","Erythemis simplicicollis",29,"Minneapolis"
"Animalia","Arthropoda","Insecta","Euchaetes egle",49,"Minneapolis"
"Animalia","Arthropoda","Insecta","Eumenes fraternus",21,"Minneapolis"
"Animalia","Arthropoda","Insecta","Eurosta solidaginis",33,"Minneapolis"
"Animalia","Arthropoda","Insecta","Graphocephala coccinea",23,"Minneapolis"
"Animalia","Arthropoda","Insecta","Haematopis grataria",16,"Minneapolis"
"Animalia","Arthropoda","Insecta","Halictus ligatus",13,"Minneapolis"
"Animalia","Arthropoda","Insecta","Halyomorpha halys",47,"Minneapolis"
"Animalia","Arthropoda","Insecta","Harmonia axyridis",80,"Minneapolis"
"Animalia","Arthropoda","Insecta","Helophilus fasciatus",37,"Minneapolis"
"Animalia","Arthropoda","Insecta","Hemaris diffinis",11,"Minneapolis"
"Animalia","Arthropoda","Insecta","Hyalophora cecropia",17,"Minneapolis"
"Animalia","Arthropoda","Insecta","Hyles lineata",13,"Minneapolis"
"Animalia","Arthropoda","Insecta","Ischnura verticalis",31,"Minneapolis"
"Animalia","Arthropoda","Insecta","Jikradia olitoria",11,"Minneapolis"
"Animalia","Arthropoda","Insecta","Labidomera clivicollis",31,"Minneapolis"
"Animalia","Arthropoda","Insecta","Leucorrhinia intacta",26,"Minneapolis"
"Animalia","Arthropoda","Insecta","Libellula luctuosa",53,"Minneapolis"
"Animalia","Arthropoda","Insecta","Libellula pulchella",70,"Minneapolis"
"Animalia","Arthropoda","Insecta","Libellula quadrimaculata",19,"Minneapolis"
"Animalia","Arthropoda","Insecta","Limenitis arthemis",19,"Minneapolis"
"Animalia","Arthropoda","Insecta","Limenitis astyanax",13,"Minneapolis"
"Animalia","Arthropoda","Insecta","Lucanus placidus",14,"Minneapolis"
"Animalia","Arthropoda","Insecta","Lucidota atra",12,"Minneapolis"
"Animalia","Arthropoda","Insecta","Lucilia sericata",23,"Minneapolis"
"Animalia","Arthropoda","Insecta","Lygus lineolaris",11,"Minneapolis"
"Animalia","Arthropoda","Insecta","Megachile latimanus",15,"Minneapolis"
"Animalia","Arthropoda","Insecta","Megacyllene robiniae",21,"Minneapolis"
"Animalia","Arthropoda","Insecta","Melanoplus bivittatus",12,"Minneapolis"
"Animalia","Arthropoda","Insecta","Melanoplus differentialis",62,"Minneapolis"
"Animalia","Arthropoda","Insecta","Melissodes bimaculatus",30,"Minneapolis"
"Animalia","Arthropoda","Insecta","Melittia cucurbitae",19,"Minneapolis"
"Animalia","Arthropoda","Insecta","Metcalfa pruinosa",18,"Minneapolis"
"Animalia","Arthropoda","Insecta","Myzinum quinquecinctum",12,"Minneapolis"
"Animalia","Arthropoda","Insecta","Neotibicen canicularis",15,"Minneapolis"
"Animalia","Arthropoda","Insecta","Nymphalis antiopa",42,"Minneapolis"
"Animalia","Arthropoda","Insecta","Oncopeltus fasciatus",19,"Minneapolis"
"Animalia","Arthropoda","Insecta","Orgyia leucostigma",13,"Minneapolis"
"Animalia","Arthropoda","Insecta","Pachydiplax longipennis",36,"Minneapolis"
"Animalia","Arthropoda","Insecta","Pachypsylla celtidismamma",29,"Minneapolis"
"Animalia","Arthropoda","Insecta","Papilio glaucus",134,"Minneapolis"
"Animalia","Arthropoda","Insecta","Papilio polibetes",78,"Minneapolis"
"Animalia","Arthropoda","Insecta","Pelecinus polyturator",14,"Minneapolis"
"Animalia","Arthropoda","Insecta","Pelidnota punctata",13,"Minneapolis"
"Animalia","Arthropoda","Insecta","Perithemis tenera",12,"Minneapolis"
"Animalia","Arthropoda","Insecta","Phyciodes tharos",14,"Minneapolis"
"Animalia","Arthropoda","Insecta","Pieris rapae",61,"Minneapolis"
"Animalia","Arthropoda","Insecta","Plathemis lydia",40,"Minneapolis"
"Animalia","Arthropoda","Insecta","Polistes dominula",50,"Minneapolis"
"Animalia","Arthropoda","Insecta","Polistes fuscatus",74,"Minneapolis"
"Animalia","Arthropoda","Insecta","Polites peckius",83,"Minneapolis"
"Animalia","Arthropoda","Insecta","Polydrusus formosus",17,"Minneapolis"
"Animalia","Arthropoda","Insecta","Polygonia comma",14,"Minneapolis"
"Animalia","Arthropoda","Insecta","Polygonia interrogationis",11,"Minneapolis"
"Animalia","Arthropoda","Insecta","Popillia japonica",76,"Minneapolis"
"Animalia","Arthropoda","Insecta","Prenolepis imparis",12,"Minneapolis"
"Animalia","Arthropoda","Insecta","Ptecticus trivittatus",12,"Minneapolis"
"Animalia","Arthropoda","Insecta","Pyralis farinalis",11,"Minneapolis"
"Animalia","Arthropoda","Insecta","Pyrrharctia isabella",76,"Minneapolis"
"Animalia","Arthropoda","Insecta","Satyrium calanus",17,"Minneapolis"
"Animalia","Arthropoda","Insecta","Sphecius speciosus",11,"Minneapolis"
"Animalia","Arthropoda","Insecta","Sphex ichneumoneus",15,"Minneapolis"
"Animalia","Arthropoda","Insecta","Sphex pensylvanicus",27,"Minneapolis"
"Animalia","Arthropoda","Insecta","Sympetrum vicinum",50,"Minneapolis"
"Animalia","Arthropoda","Insecta","Tetraopes tetrophthalmus",55,"Minneapolis"
"Animalia","Arthropoda","Insecta","Thymelicus lineola",14,"Minneapolis"
"Animalia","Arthropoda","Insecta","Toxomerus geminatus",12,"Minneapolis"
"Animalia","Arthropoda","Insecta","Toxomerus marginatus",41,"Minneapolis"
"Animalia","Arthropoda","Insecta","Vanessa atalanta",70,"Minneapolis"
"Animalia","Arthropoda","Insecta","Vanessa cardui",31,"Minneapolis"
"Animalia","Arthropoda","Insecta","Vanessa virginiensis",13,"Minneapolis"
"Animalia","Arthropoda","Insecta","Vespula maculifrons",32,"Minneapolis"
"Animalia","Arthropoda","Insecta","Zelus luridus",19,"Minneapolis"
"Animalia","Arthropoda",NA,"Argiope aurantia",24,"Minneapolis"
"Animalia","Arthropoda",NA,"Dermacentor variabilis",11,"Minneapolis"
"Animalia","Arthropoda",NA,"Dolomedes tenebrosus",12,"Minneapolis"
"Animalia","Arthropoda",NA,"Eriophyes tiliae",16,"Minneapolis"
"Animalia","Arthropoda",NA,"Herpyllus ecclesiasticus",16,"Minneapolis"
"Animalia","Arthropoda",NA,"Neoscona crucifera",29,"Minneapolis"
"Animalia","Arthropoda",NA,"Phidippus audax",25,"Minneapolis"
"Animalia","Arthropoda",NA,"Pisaurina mira",11,"Minneapolis"
"Animalia","Arthropoda",NA,"Salticus scenicus",20,"Minneapolis"
"Animalia","Arthropoda",NA,"Sitticus fasciger",19,"Minneapolis"
"Animalia","Arthropoda",NA,"Steatoda triangulosa",17,"Minneapolis"
"Animalia","Chordata","Actinopterygii","Lepomis macrochirus",15,"Minneapolis"
"Animalia","Chordata","Amphibia","Anaxyrus americanus",172,"Minneapolis"
"Animalia","Chordata","Amphibia","Dryophytes versicolor",18,"Minneapolis"
"Animalia","Chordata","Amphibia","Lithobates clamitans",31,"Minneapolis"
"Animalia","Chordata","Amphibia","Lithobates pipiens",74,"Minneapolis"
"Animalia","Chordata","Amphibia","Pseudacris maculata",20,"Minneapolis"
"Animalia","Chordata","Aves","Acanthis flammea",42,"Minneapolis"
"Animalia","Chordata","Aves","Accipiter cooperii",177,"Minneapolis"
"Animalia","Chordata","Aves","Accipiter striatus",61,"Minneapolis"
"Animalia","Chordata","Aves","Actitis macularius",20,"Minneapolis"
"Animalia","Chordata","Aves","Agelaius phoeniceus",448,"Minneapolis"
"Animalia","Chordata","Aves","Aix sponsa",333,"Minneapolis"
"Animalia","Chordata","Aves","Anas acuta",23,"Minneapolis"
"Animalia","Chordata","Aves","Anas americana",19,"Minneapolis"
"Animalia","Chordata","Aves","Anas clypeata",61,"Minneapolis"
"Animalia","Chordata","Aves","Anas crecca",33,"Minneapolis"
"Animalia","Chordata","Aves","Anas discors",63,"Minneapolis"
"Animalia","Chordata","Aves","Anas platyrhynchos",785,"Minneapolis"
"Animalia","Chordata","Aves","Anas rubripes",33,"Minneapolis"
"Animalia","Chordata","Aves","Anas strepera",44,"Minneapolis"
"Animalia","Chordata","Aves","Archilochus colubris",32,"Minneapolis"
"Animalia","Chordata","Aves","Ardea alba",133,"Minneapolis"
"Animalia","Chordata","Aves","Ardea herodias",234,"Minneapolis"
"Animalia","Chordata","Aves","Aythya affinis",68,"Minneapolis"
"Animalia","Chordata","Aves","Aythya americana",30,"Minneapolis"
"Animalia","Chordata","Aves","Aythya collaris",84,"Minneapolis"
"Animalia","Chordata","Aves","Aythya marila",13,"Minneapolis"
"Animalia","Chordata","Aves","Aythya valisineria",18,"Minneapolis"
"Animalia","Chordata","Aves","Bombycilla cedrorum",107,"Minneapolis"
"Animalia","Chordata","Aves","Branta canadensis",633,"Minneapolis"
"Animalia","Chordata","Aves","Branta hutchinsii",16,"Minneapolis"
"Animalia","Chordata","Aves","Bubo scandiacus",16,"Minneapolis"
"Animalia","Chordata","Aves","Bubo virginianus",93,"Minneapolis"
"Animalia","Chordata","Aves","Bucephala albeola",121,"Minneapolis"
"Animalia","Chordata","Aves","Bucephala clangula",117,"Minneapolis"
"Animalia","Chordata","Aves","Buteo jamaicensis",429,"Minneapolis"
"Animalia","Chordata","Aves","Buteo lagopus",31,"Minneapolis"
"Animalia","Chordata","Aves","Buteo lineatus",24,"Minneapolis"
"Animalia","Chordata","Aves","Buteo platypterus",59,"Minneapolis"
"Animalia","Chordata","Aves","Butorides virescens",65,"Minneapolis"
"Animalia","Chordata","Aves","Cardinalis cardinalis",837,"Minneapolis"
"Animalia","Chordata","Aves","Cathartes aura",121,"Minneapolis"
"Animalia","Chordata","Aves","Catharus guttatus",119,"Minneapolis"
"Animalia","Chordata","Aves","Certhia americana",189,"Minneapolis"
