"kingdom","phylum","class","species","nobs","city"
"Animalia","Arthropoda","Insecta","Apis mellifera",25,"Fresno"
"Animalia","Arthropoda","Insecta","Harmonia axyridis",46,"Fresno"
"Animalia","Arthropoda","Insecta","Leptoglossus zonatus",11,"Fresno"
"Animalia","Arthropoda","Insecta","Schistocerca nitens",11,"Fresno"
"Animalia","Arthropoda","Insecta","Strymon melinus",12,"Fresno"
"Animalia","Arthropoda",NA,"Latrodectus hesperus",13,"Fresno"
"Animalia","Arthropoda",NA,"Phidippus audax",17,"Fresno"
"Animalia","Chordata","Amphibia","Anaxyrus boreas",25,"Fresno"
"Animalia","Chordata","Aves","Accipiter cooperii",139,"Fresno"
"Animalia","Chordata","Aves","Accipiter striatus",39,"Fresno"
"Animalia","Chordata","Aves","Actitis macularius",18,"Fresno"
"Animalia","Chordata","Aves","Aechmophorus occidentalis",14,"Fresno"
"Animalia","Chordata","Aves","Aeronautes saxatalis",28,"Fresno"
"Animalia","Chordata","Aves","Agelaius phoeniceus",86,"Fresno"
"Animalia","Chordata","Aves","Agelaius tricolor",12,"Fresno"
"Animalia","Chordata","Aves","Aix sponsa",62,"Fresno"
"Animalia","Chordata","Aves","Anas americana",29,"Fresno"
"Animalia","Chordata","Aves","Anas clypeata",45,"Fresno"
"Animalia","Chordata","Aves","Anas crecca",20,"Fresno"
"Animalia","Chordata","Aves","Anas cyanoptera",21,"Fresno"
"Animalia","Chordata","Aves","Anas platyrhynchos",254,"Fresno"
"Animalia","Chordata","Aves","Anas strepera",59,"Fresno"
"Animalia","Chordata","Aves","Anser albifrons",17,"Fresno"
"Animalia","Chordata","Aves","Anthus rubescens",64,"Fresno"
"Animalia","Chordata","Aves","Aphelocoma californica",439,"Fresno"
"Animalia","Chordata","Aves","Archilochus alexandri",49,"Fresno"
"Animalia","Chordata","Aves","Ardea alba",237,"Fresno"
"Animalia","Chordata","Aves","Ardea herodias",109,"Fresno"
"Animalia","Chordata","Aves","Athene cunicularia",11,"Fresno"
"Animalia","Chordata","Aves","Aythya collaris",59,"Fresno"
"Animalia","Chordata","Aves","Bombycilla cedrorum",152,"Fresno"
"Animalia","Chordata","Aves","Branta canadensis",301,"Fresno"
"Animalia","Chordata","Aves","Branta hutchinsii",15,"Fresno"
"Animalia","Chordata","Aves","Bubo virginianus",51,"Fresno"
"Animalia","Chordata","Aves","Bubulcus ibis",45,"Fresno"
"Animalia","Chordata","Aves","Bucephala albeola",71,"Fresno"
"Animalia","Chordata","Aves","Bucephala clangula",25,"Fresno"
"Animalia","Chordata","Aves","Buteo jamaicensis",272,"Fresno"
"Animalia","Chordata","Aves","Buteo lineatus",105,"Fresno"
"Animalia","Chordata","Aves","Buteo swainsoni",46,"Fresno"
"Animalia","Chordata","Aves","Butorides virescens",50,"Fresno"
"Animalia","Chordata","Aves","Calidris minutilla",27,"Fresno"
"Animalia","Chordata","Aves","Callipepla californica",48,"Fresno"
"Animalia","Chordata","Aves","Calypte anna",309,"Fresno"
"Animalia","Chordata","Aves","Calypte costae",11,"Fresno"
"Animalia","Chordata","Aves","Cardellina pusilla",27,"Fresno"
"Animalia","Chordata","Aves","Cathartes aura",183,"Fresno"
"Animalia","Chordata","Aves","Catharus guttatus",45,"Fresno"
"Animalia","Chordata","Aves","Certhia americana",16,"Fresno"
"Animalia","Chordata","Aves","Charadrius vociferus",185,"Fresno"
"Animalia","Chordata","Aves","Chen caerulescens",14,"Fresno"
"Animalia","Chordata","Aves","Chondestes grammacus",34,"Fresno"
"Animalia","Chordata","Aves","Circus cyaneus",27,"Fresno"
"Animalia","Chordata","Aves","Cistothorus palustris",15,"Fresno"
"Animalia","Chordata","Aves","Colaptes auratus",212,"Fresno"
"Animalia","Chordata","Aves","Columba livia",286,"Fresno"
"Animalia","Chordata","Aves","Columbina passerina",12,"Fresno"
"Animalia","Chordata","Aves","Contopus cooperi",11,"Fresno"
"Animalia","Chordata","Aves","Contopus sordidulus",29,"Fresno"
"Animalia","Chordata","Aves","Corvus brachyrhynchos",333,"Fresno"
"Animalia","Chordata","Aves","Corvus corax",86,"Fresno"
"Animalia","Chordata","Aves","Egretta thula",157,"Fresno"
"Animalia","Chordata","Aves","Elanus leucurus",25,"Fresno"
"Animalia","Chordata","Aves","Empidonax difficilis",13,"Fresno"
"Animalia","Chordata","Aves","Eremophila alpestris",13,"Fresno"
"Animalia","Chordata","Aves","Euphagus cyanocephalus",141,"Fresno"
"Animalia","Chordata","Aves","Falco columbarius",27,"Fresno"
"Animalia","Chordata","Aves","Falco mexicanus",19,"Fresno"
"Animalia","Chordata","Aves","Falco peregrinus",31,"Fresno"
"Animalia","Chordata","Aves","Falco sparverius",144,"Fresno"
"Animalia","Chordata","Aves","Fulica americana",213,"Fresno"
"Animalia","Chordata","Aves","Gallinago delicata",23,"Fresno"
"Animalia","Chordata","Aves","Geothlypis trichas",20,"Fresno"
"Animalia","Chordata","Aves","Haemorhous mexicanus",335,"Fresno"
"Animalia","Chordata","Aves","Haemorhous purpureus",25,"Fresno"
"Animalia","Chordata","Aves","Haliaeetus leucocephalus",25,"Fresno"
"Animalia","Chordata","Aves","Himantopus mexicanus",65,"Fresno"
"Animalia","Chordata","Aves","Hirundo rustica",43,"Fresno"
"Animalia","Chordata","Aves","Hydroprogne caspia",11,"Fresno"
"Animalia","Chordata","Aves","Icterus bullockii",54,"Fresno"
"Animalia","Chordata","Aves","Icterus cucullatus",30,"Fresno"
"Animalia","Chordata","Aves","Junco hyemalis",154,"Fresno"
"Animalia","Chordata","Aves","Lanius ludovicianus",23,"Fresno"
"Animalia","Chordata","Aves","Larus californicus",109,"Fresno"
"Animalia","Chordata","Aves","Larus delawarensis",76,"Fresno"
"Animalia","Chordata","Aves","Leiothlypis celata",79,"Fresno"
"Animalia","Chordata","Aves","Limnodromus scolopaceus",16,"Fresno"
"Animalia","Chordata","Aves","Lophodytes cucullatus",56,"Fresno"
"Animalia","Chordata","Aves","Megaceryle alcyon",63,"Fresno"
"Animalia","Chordata","Aves","Megascops kennicottii",16,"Fresno"
"Animalia","Chordata","Aves","Melanerpes formicivorus",63,"Fresno"
"Animalia","Chordata","Aves","Melospiza lincolnii",60,"Fresno"
"Animalia","Chordata","Aves","Melospiza melodia",55,"Fresno"
"Animalia","Chordata","Aves","Melozone crissalis",18,"Fresno"
"Animalia","Chordata","Aves","Mergus merganser",72,"Fresno"
"Animalia","Chordata","Aves","Mimus polyglottos",385,"Fresno"
"Animalia","Chordata","Aves","Molothrus ater",51,"Fresno"
"Animalia","Chordata","Aves","Myiarchus cinerascens",38,"Fresno"
"Animalia","Chordata","Aves","Nycticorax nycticorax",67,"Fresno"
"Animalia","Chordata","Aves","Oxyura jamaicensis",134,"Fresno"
"Animalia","Chordata","Aves","Pandion haliaetus",35,"Fresno"
"Animalia","Chordata","Aves","Passer domesticus",286,"Fresno"
"Animalia","Chordata","Aves","Passerculus sandwichensis",70,"Fresno"
"Animalia","Chordata","Aves","Passerella iliaca",26,"Fresno"
"Animalia","Chordata","Aves","Passerina amoena",18,"Fresno"
"Animalia","Chordata","Aves","Pelecanus erythrorhynchos",53,"Fresno"
"Animalia","Chordata","Aves","Petrochelidon pyrrhonota",93,"Fresno"
"Animalia","Chordata","Aves","Phainopepla nitens",25,"Fresno"
"Animalia","Chordata","Aves","Phalacrocorax auritus",165,"Fresno"
"Animalia","Chordata","Aves","Pheucticus melanocephalus",42,"Fresno"
"Animalia","Chordata","Aves","Picoides nuttallii",78,"Fresno"
