"kingdom","phylum","class","species","nobs","city"
"Animalia","Arthropoda","Insecta","Acanthocephala declivis",15,"Memphis"
"Animalia","Arthropoda","Insecta","Agraulis vanillae",22,"Memphis"
"Animalia","Arthropoda","Insecta","Apis mellifera",23,"Memphis"
"Animalia","Arthropoda","Insecta","Asterocampa celtis",13,"Memphis"
"Animalia","Arthropoda","Insecta","Asterocampa clyton",12,"Memphis"
"Animalia","Arthropoda","Insecta","Battus philenor",21,"Memphis"
"Animalia","Arthropoda","Insecta","Bombus impatiens",18,"Memphis"
"Animalia","Arthropoda","Insecta","Chinavia hilaris",13,"Memphis"
"Animalia","Arthropoda","Insecta","Cicindela sexguttata",12,"Memphis"
"Animalia","Arthropoda","Insecta","Danaus plexippus",22,"Memphis"
"Animalia","Arthropoda","Insecta","Diabrotica undecimpunctata",12,"Memphis"
"Animalia","Arthropoda","Insecta","Elkalyce comyntas",20,"Memphis"
"Animalia","Arthropoda","Insecta","Epargyreus clarus",11,"Memphis"
"Animalia","Arthropoda","Insecta","Eremnophila aureonotata",12,"Memphis"
"Animalia","Arthropoda","Insecta","Erythemis simplicicollis",17,"Memphis"
"Animalia","Arthropoda","Insecta","Harmonia axyridis",22,"Memphis"
"Animalia","Arthropoda","Insecta","Helophilus fasciatus",12,"Memphis"
"Animalia","Arthropoda","Insecta","Ischnura posita",12,"Memphis"
"Animalia","Arthropoda","Insecta","Junonia coenia",11,"Memphis"
"Animalia","Arthropoda","Insecta","Lerema accius",13,"Memphis"
"Animalia","Arthropoda","Insecta","Libellula luctuosa",15,"Memphis"
"Animalia","Arthropoda","Insecta","Libytheana carinenta",11,"Memphis"
"Animalia","Arthropoda","Insecta","Limenitis archippus",17,"Memphis"
"Animalia","Arthropoda","Insecta","Melanoplus differentialis",15,"Memphis"
"Animalia","Arthropoda","Insecta","Odontotaenius disjunctus",11,"Memphis"
"Animalia","Arthropoda","Insecta","Pachydiplax longipennis",21,"Memphis"
"Animalia","Arthropoda","Insecta","Papilio glaucus",28,"Memphis"
"Animalia","Arthropoda","Insecta","Perithemis tenera",12,"Memphis"
"Animalia","Arthropoda","Insecta","Phyciodes tharos",18,"Memphis"
"Animalia","Arthropoda","Insecta","Plathemis lydia",15,"Memphis"
"Animalia","Arthropoda","Insecta","Polygonia interrogationis",15,"Memphis"
"Animalia","Arthropoda","Insecta","Toxomerus geminatus",14,"Memphis"
"Animalia","Arthropoda","Insecta","Toxomerus marginatus",12,"Memphis"
"Animalia","Arthropoda","Insecta","Vanessa atalanta",11,"Memphis"
"Animalia","Arthropoda","Insecta","Xylocopa virginica",13,"Memphis"
"Animalia","Arthropoda",NA,"Argiope aurantia",18,"Memphis"
"Animalia","Arthropoda",NA,"Phidippus audax",11,"Memphis"
"Animalia","Chordata","Aves","Accipiter cooperii",77,"Memphis"
"Animalia","Chordata","Aves","Accipiter striatus",19,"Memphis"
"Animalia","Chordata","Aves","Actitis macularius",25,"Memphis"
"Animalia","Chordata","Aves","Agelaius phoeniceus",209,"Memphis"
"Animalia","Chordata","Aves","Aix sponsa",62,"Memphis"
"Animalia","Chordata","Aves","Anas acuta",18,"Memphis"
"Animalia","Chordata","Aves","Anas americana",12,"Memphis"
"Animalia","Chordata","Aves","Anas clypeata",53,"Memphis"
