"kingdom","phylum","class","species","nobs","city"
"Animalia","Annelida","Clitellata","Lumbricus terrestris",17,"Halifax"
"Animalia","Arthropoda","Insecta","Acronicta americana",18,"Halifax"
"Animalia","Arthropoda","Insecta","Actias luna",17,"Halifax"
"Animalia","Arthropoda","Insecta","Alcis porcelaria",11,"Halifax"
"Animalia","Arthropoda","Insecta","Andrena wilkella",12,"Halifax"
"Animalia","Arthropoda","Insecta","Antheraea polyphemus",20,"Halifax"
"Animalia","Arthropoda","Insecta","Apis mellifera",97,"Halifax"
"Animalia","Arthropoda","Insecta","Argia fumipennis",11,"Halifax"
"Animalia","Arthropoda","Insecta","Bombus bimaculatus",37,"Halifax"
"Animalia","Arthropoda","Insecta","Bombus borealis",12,"Halifax"
"Animalia","Arthropoda","Insecta","Bombus impatiens",155,"Halifax"
"Animalia","Arthropoda","Insecta","Bombus ternarius",86,"Halifax"
"Animalia","Arthropoda","Insecta","Bombylius major",13,"Halifax"
"Animalia","Arthropoda","Insecta","Calopteryx maculata",20,"Halifax"
"Animalia","Arthropoda","Insecta","Camponotus pennsylvanicus",20,"Halifax"
"Animalia","Arthropoda","Insecta","Carabus nemoralis",42,"Halifax"
"Animalia","Arthropoda","Insecta","Celastrina lucia",12,"Halifax"
"Animalia","Arthropoda","Insecta","Coccinella septempunctata",17,"Halifax"
"Animalia","Arthropoda","Insecta","Colias philodice",13,"Halifax"
"Animalia","Arthropoda","Insecta","Cosmopepla lintneriana",12,"Halifax"
"Animalia","Arthropoda","Insecta","Ctenucha virginica",16,"Halifax"
"Animalia","Arthropoda","Insecta","Danaus plexippus",33,"Halifax"
"Animalia","Arthropoda","Insecta","Dioctria hyalipennis",14,"Halifax"
"Animalia","Arthropoda","Insecta","Dolichovespula maculata",13,"Halifax"
"Animalia","Arthropoda","Insecta","Elasmostethus cruciatus",14,"Halifax"
"Animalia","Arthropoda","Insecta","Elasmucha lateralis",19,"Halifax"
"Animalia","Arthropoda","Insecta","Ellychnia corrusca",63,"Halifax"
"Animalia","Arthropoda","Insecta","Eristalis tenax",15,"Halifax"
"Animalia","Arthropoda","Insecta","Halictus rubicundus",12,"Halifax"
"Animalia","Arthropoda","Insecta","Halysidota tessellaris",40,"Halifax"
"Animalia","Arthropoda","Insecta","Harmonia axyridis",119,"Halifax"
"Animalia","Arthropoda","Insecta","Hemaris thysbe",11,"Halifax"
"Animalia","Arthropoda","Insecta","Idaea dimidiata",12,"Halifax"
"Animalia","Arthropoda","Insecta","Idia americalis",11,"Halifax"
"Animalia","Arthropoda","Insecta","Ischnura verticalis",26,"Halifax"
"Animalia","Arthropoda","Insecta","Leptoglossus occidentalis",38,"Halifax"
"Animalia","Arthropoda","Insecta","Lilioceris lilii",15,"Halifax"
"Animalia","Arthropoda","Insecta","Limenitis arthemis",14,"Halifax"
"Animalia","Arthropoda","Insecta","Lophocampa maculata",16,"Halifax"
"Animalia","Arthropoda","Insecta","Lucilia sericata",11,"Halifax"
"Animalia","Arthropoda","Insecta","Lymantria dispar",32,"Halifax"
"Animalia","Arthropoda","Insecta","Meconema thalassinum",14,"Halifax"
"Animalia","Arthropoda","Insecta","Menecles insertus",12,"Halifax"
"Animalia","Arthropoda","Insecta","Mythimna unipuncta",11,"Halifax"
"Animalia","Arthropoda","Insecta","Necrophila americana",11,"Halifax"
"Animalia","Arthropoda","Insecta","Noctua pronuba",12,"Halifax"
"Animalia","Arthropoda","Insecta","Orgyia leucostigma",11,"Halifax"
