"","CityName","WKTpoly","point.ID","poly.ID","NA_L1CODE","NA_L1NAME","NA_L1KEY","Shape_Leng","Shape_Area","bio1","bio3","bio4","bio5","bio6","bio12","bio13","bio14","bio15","lon","lat"
"1","Albuquerque","POLYGON((-106.87 34.9098,-106.87 35.2702,-106.43 35.2702,-106.43 34.9098,-106.87 34.9098))",23,84,"10","NORTH AMERICAN DESERTS","10  NORTH AMERICAN DESERTS",33958015.1369,1870616616840,13.6037738469182,3.23432658886423,245.173469387755,45.4897959183673,10.6020408163265,16.4556565382043,42.1545059437655,858.879202083666,33.8899997789033,-106.65,35.09
"2","Atlanta","POLYGON((-84.6061 33.5698,-84.6061 33.9302,-84.1739 33.9302,-84.1739 33.5698,-84.6061 33.5698))",22,2105,"8","EASTERN TEMPERATE FORESTS","8  EASTERN TEMPERATE FORESTS",54849927.6241,2701109013550,16.5267721292924,7.00304081488629,1290.37755102041,141.34693877551,82,11.5140273911612,36.6849047213185,748.918023557079,31.8262854011691,-84.39,33.75
"3","Austin","POLYGON((-97.948 30.0898,-97.948 30.4502,-97.532 30.4502,-97.532 30.0898,-97.948 30.0898))",41,2140,"9","GREAT PLAINS","9  GREAT PLAINS",25408342.8043,2793433250200,19.9014150658432,10.8121905034902,833.408163265306,121.132653061224,46.9897959183673,12.0609251917625,38.3909434493707,709.507481166295,35.0355917872215,-97.74,30.27
"4","Baltimore","POLYGON((-76.8421 39.1098,-76.8421 39.4702,-76.3779 39.4702,-76.3779 39.1098,-76.8421 39.1098))",17,2105,"8","EASTERN TEMPERATE FORESTS","8  EASTERN TEMPERATE FORESTS",54849927.6241,2701109013550,13.3647333959515,2.08812623479393,1124.7191011236,110.494382022472,75.4157303370787,10.5948594232624,30.4911496451732,902.527824487579,30.9627407374007,-76.61,39.29
"5","Boston","POLYGON((-71.3031 42.1798,-71.3031 42.5402,-70.8169 42.5402,-70.8169 42.1798,-71.3031 42.1798))",18,2105,"8","EASTERN TEMPERATE FORESTS","8  EASTERN TEMPERATE FORESTS",54849927.6241,2701109013550,10.1418769051047,-1.24732838658726,1130.12941176471,105.435294117647,82.6470588235294,10.8851526821361,29.9909948461196,918.054404584099,28.6858509288115,-71.06,42.36
"6","Calgary","POLYGON((-114.346 50.8598,-114.346 51.2202,-113.774 51.2202,-113.774 50.8598,-114.346 50.8598))",47,2140,"9","GREAT PLAINS","9  GREAT PLAINS",25408342.8043,2793433250200,4.18125867595275,-7.56419447561105,426.1875,89.46875,9.86458333333333,13.1916840076447,33.4384727478027,949.082201004028,23.9449166854223,-114.06,51.04
"7","Charlotte","POLYGON((-81.0499 35.0298,-81.0499 35.3902,-80.6101 35.3902,-80.6101 35.0298,-81.0499 35.0298))",25,2105,"8","EASTERN TEMPERATE FORESTS","8  EASTERN TEMPERATE FORESTS",54849927.6241,2701109013550,15.9437390626079,6.11700345049001,1157.51515151515,115.888888888889,76.1111111111111,12.4281245819246,37.5968648737127,779.331308075876,32.1847678097812,-80.83,35.21
"8","Chicago","POLYGON((-87.8909 41.5798,-87.8909 41.9402,-87.4091 41.9402,-87.4091 41.5798,-87.8909 41.5798))",1,2105,"8","EASTERN TEMPERATE FORESTS","8  EASTERN TEMPERATE FORESTS",54849927.6241,2701109013550,10.0892834091186,-3.17170002698898,953.76,103.87,39.9,10.4041865634918,26.8153780174255,1032.24720703125,29.3103997993469,-87.65,41.76
"9","Colorado Springs","POLYGON((-105.051 38.6498,-105.051 39.0102,-104.589 39.0102,-104.589 38.6498,-105.051 38.6498))",10,2140,"9","GREAT PLAINS","9  GREAT PLAINS",25408342.8043,2793433250200,8.44588039232337,-0.985760854152234,417.20652173913,70.9021739130435,9.14130434782609,15.707847667777,41.5536735368812,808.544566278872,28.3111305029496,-104.82,38.83
"10","Columbus","POLYGON((-83.2245 39.8098,-83.2245 40.1702,-82.7555 40.1702,-82.7555 39.8098,-83.2245 39.8098))",27,2105,"8","EASTERN TEMPERATE FORESTS","8  EASTERN TEMPERATE FORESTS",54849927.6241,2701109013550,11.4614443778992,-0.709305560837189,962.604166666667,107.677083333333,53.375,11.6401042242845,31.377357284228,953.635250727336,30.0997082392375,-82.99,39.99
