"SSP","City","currentRichness","futureRichness","diffRichness"
"ssp585","Raleigh",807,686,-0.149938042131351
"ssp585","Sacramento",742,696,-0.0619946091644205
"ssp585","San Antonio",823,583,-0.291616038882138
"ssp585","San Diego",1145,989,-0.136244541484716
"ssp585","San Francisco",1154,1247,0.0805892547660312
"ssp585","San Jose",899,895,-0.00444938820912125
"ssp585","Seattle",1177,1246,0.0586236193712829
"ssp585","Toronto",817,988,0.209302325581395
"ssp585","Tucson",290,330,0.137931034482759
"ssp585","Tulsa",575,720,0.252173913043478
"ssp585","Vancouver",1178,1280,0.0865874363327674
"ssp585","Virginia Beach",1044,1043,-0.000957854406130268
"ssp585","Washington",946,868,-0.0824524312896406
"ssp585","Winnipeg",130,521,3.00769230769231
