"City","newInteraction","lostInteraction","SSP"
"Las Vegas",72.6409495548961,89.4955489614243,"ssp245"
"Laval",460.680600214362,74.4726688102894,"ssp245"
"Long Beach",91.96875,256.5,"ssp245"
"Los Angeles",96.5618964003512,230.705004389816,"ssp245"
"Memphis",286.214783821478,156.403068340307,"ssp245"
"Mesa",61.8493827160494,81.5407407407407,"ssp245"
"Miami",149.715643906655,129.189282627485,"ssp245"
"Milwaukee",383.937324602432,196.860617399439,"ssp245"
"Minneapolis",324.564993564994,168.765765765766,"ssp245"
"Mississauga",386.064516129032,127.454377880184,"ssp245"
"Nashville",216,195.56875,"ssp245"
"New York",168.536868268434,297.54183927092,"ssp245"
"Oakland",166.627852084972,132.978756884343,"ssp245"
"Oklahoma City",271.629820051414,207.820051413882,"ssp245"
"Omaha",360.404970760234,111.843567251462,"ssp245"
"Ottawa - Gatineau",515.687296416938,52.8045602605863,"ssp245"
"Philadelphia",217.971890971039,295.591141396934,"ssp245"
"Phoenix",64.0197044334975,76.5886699507389,"ssp245"
"Portland",225.701288855193,187.506444275967,"ssp245"
"Raleigh",144.414225941423,445.154811715481,"ssp245"
"Sacramento",138.360560093349,194.81796966161,"ssp245"
"San Antonio",65.9016393442623,452.613114754098,"ssp245"
"San Diego",63.6487158243579,224.391052195526,"ssp245"
"San Francisco",160.755023183926,100.266615146832,"ssp245"
"San Jose",196.520891364902,191.1643454039,"ssp245"
"Seattle",285.619012527634,168.31245394252,"ssp245"
"Surrey",268.113056163384,109.411378555799,"ssp245"
"Toronto",384.294392523364,124.194392523364,"ssp245"
"Tucson",124.846522781775,72.2877697841727,"ssp245"
"Tulsa",385.702702702703,171.503378378378,"ssp245"
"Vancouver",281.012108262108,119.17735042735,"ssp245"
"Virginia Beach",215.655564581641,304.273761169781,"ssp245"
"Washington",206.396388650043,424.621668099742,"ssp245"
"Winnipeg",300.822784810127,20.506329113924,"ssp245"
