"City","newInteraction","lostInteraction","SSP"
"Québec",810.272812793979,41.7761053621825,"ssp585"
"Montréal",592.985280588777,140.882244710212,"ssp585"
"Albuquerque",109.117647058824,73.242214532872,"ssp585"
"Atlanta",207.414346895075,422.420770877944,"ssp585"
"Austin",105.759036144578,491.484939759036,"ssp585"
"Baltimore",314.99465648855,434.021374045802,"ssp585"
"Boston",325.178225806452,271.242741935484,"ssp585"
"Brampton",489.873602751505,204.745485812554,"ssp585"
"Calgary",380.009596928983,34.9558541266795,"ssp585"
"Charlotte",254.25,391.865927419355,"ssp585"
"Chicago",438.4686774942,344.727764887858,"ssp585"
"Colorado Springs",303.450980392157,81.3333333333333,"ssp585"
"Columbus",300.659832246039,409.990680335508,"ssp585"
"Dallas",182.605212355212,416.301158301158,"ssp585"
"Denver",166,110.378571428571,"ssp585"
"Detroit",455.443579766537,314.446692607004,"ssp585"
"Edmonton",427.212180746562,14.0962671905697,"ssp585"
"El Paso",111.25,80.24,"ssp585"
"Fort Worth",181.924637681159,431.869565217391,"ssp585"
"Fresno",223.615863141524,120.640746500778,"ssp585"
"Halifax",549.565928777671,87.5370548604427,"ssp585"
"Hamilton",434.593220338983,252.461662631154,"ssp585"
"Houston",229.915110356537,300.185908319185,"ssp585"
"Indianapolis",323.842922374429,397.260273972603,"ssp585"
"Jacksonville",313.893081761006,226.432165318958,"ssp585"
"Kansas City",479.184210526316,211.157894736842,"ssp585"
"Las Vegas",148.711055276382,91.537688442211,"ssp585"
"Laval",602.045496750232,127.839368616527,"ssp585"
"Long Beach",140.163727959698,404.20067170445,"ssp585"
"Los Angeles",140.102301790281,357.600170502984,"ssp585"
"Memphis",369.375,171.712871287129,"ssp585"
"Mesa",118.874157303371,95.2786516853933,"ssp585"
"Miami",271.578819725141,204.426030719483,"ssp585"
"Milwaukee",491.717647058824,266.486554621849,"ssp585"
"Minneapolis",431.291153415454,178.162374020157,"ssp585"
"Mississauga",465.988926746167,225.281090289608,"ssp585"
"Nashville",285.615811373093,196.815533980583,"ssp585"
"New York",321.602418745276,364.444444444444,"ssp585"
"Oakland",224.7,206.623664122137,"ssp585"
"Oklahoma City",375.652173913043,199.491990846682,"ssp585"
"Omaha",461.349937733499,116.469489414695,"ssp585"
"Ottawa - Gatineau",665.642329020333,105.516635859519,"ssp585"
"Philadelphia",325.699052132701,369.270142180095,"ssp585"
"Phoenix",127.191111111111,90.1333333333333,"ssp585"
"Portland",341.029202279202,286.100427350427,"ssp585"
"Raleigh",265.633053221288,427.831932773109,"ssp585"
"Sacramento",173.477477477477,257.599099099099,"ssp585"
"San Antonio",92.776008492569,497.222929936306,"ssp585"
"San Diego",112.102254428341,385.037037037037,"ssp585"
"San Francisco",250.724777448071,136.843471810089,"ssp585"
"San Jose",271.333627537511,245.715798764342,"ssp585"
"Seattle",384.011142061281,281.894150417827,"ssp585"
"Surrey",374.327372764787,258.621045392022,"ssp585"
"Toronto",464.106988783434,220.573770491803,"ssp585"
"Tucson",180.738197424893,94.4613733905579,"ssp585"
"Tulsa",417.656050955414,206.207006369427,"ssp585"
"Vancouver",372.44451962111,268.763870094723,"ssp585"
"Virginia Beach",323.981776765376,361.826119969628,"ssp585"
"Washington",310.126582278481,469.869462025316,"ssp585"
"Winnipeg",466.128295254833,19.4217926186292,"ssp585"
"Québec",528.678841309824,9.04785894206549,"ssp126"
"Montréal",307.518072289157,47.3963855421687,"ssp126"
"Albuquerque",42.7304347826087,46.2608695652174,"ssp126"
"Atlanta",22.9642857142857,577.482804232804,"ssp126"
"Austin",47.3898305084746,386.922669491525,"ssp126"
"Baltimore",150.63130881095,282.299401197605,"ssp126"
"Boston",170.376449598573,66.7056199821588,"ssp126"
"Brampton",315.72,53.031,"ssp126"
"Calgary",157.224489795918,30.5986394557823,"ssp126"
"Charlotte",34.5979899497487,489.472361809045,"ssp126"
"Chicago",215.396897810219,231.138686131387,"ssp126"
"Colorado Springs",126.708245243129,42.5454545454545,"ssp126"
"Columbus",85.5891203703704,468.496527777778,"ssp126"
"Dallas",105.642857142857,318.409937888199,"ssp126"
"Denver",63.25,75.346875,"ssp126"
"Detroit",220.813308687616,183.529574861368,"ssp126"
"Edmonton",184.976653696498,13.1322957198444,"ssp126"
"El Paso",49.3647540983607,69.5286885245902,"ssp126"
"Fort Worth",102.318418314256,335.825182101977,"ssp126"
"Fresno",71.2152133580705,149.944341372913,"ssp126"
"Halifax",333.487297921478,17.0334872979215,"ssp126"
"Hamilton",236.925581395349,86.9609302325581,"ssp126"
"Houston",120.018181818182,214.941818181818,"ssp126"
"Indianapolis",143.812087912088,388.181318681319,"ssp126"
"Jacksonville",100.900826446281,172.655991735537,"ssp126"
"Kansas City",324.078794901506,182.665121668598,"ssp126"
"Las Vegas",42.2208201892744,103.772870662461,"ssp126"
"Laval",294.735802469136,46.1481481481481,"ssp126"
"Long Beach",61.4430714916152,221.601941747573,"ssp126"
"Los Angeles",90.8015873015873,180.452380952381,"ssp126"
"Memphis",177.946287519747,179.54028436019,"ssp126"
"Mesa",36.7794871794872,92.8179487179487,"ssp126"
"Miami",68.3717371737174,123.683168316832,"ssp126"
"Milwaukee",250.973168214654,180.524251805986,"ssp126"
"Minneapolis",221.462427745665,183.867052023121,"ssp126"
"Mississauga",275.60518444666,64.3519441674975,"ssp126"
"Nashville",71.4362934362934,246.138996138996,"ssp126"
"New York",107.308684436801,168.967325881341,"ssp126"
"Oakland",106.759708737864,93.3656957928803,"ssp126"
"Oklahoma City",216.547945205479,210.279452054795,"ssp126"
"Omaha",279.279869067103,120.549918166939,"ssp126"
"Ottawa - Gatineau",404.286231884058,18.2282608695652,"ssp126"
"Philadelphia",137.395161290323,224.362903225806,"ssp126"
"Phoenix",30.8811369509044,109.558139534884,"ssp126"
"Portland",150.926886792453,134.037735849057,"ssp126"
"Raleigh",58.2283464566929,528.59392575928,"ssp126"
"Sacramento",66.4106041923551,179.707768187423,"ssp126"
"San Antonio",43.1731843575419,393.948603351955,"ssp126"
"San Diego",36.5407220822838,175.614609571788,"ssp126"
"San Francisco",108.939130434783,89.7770750988142,"ssp126"
"San Jose",97.4827586206897,158.833497536946,"ssp126"
"Seattle",192.108712413261,104.015420200463,"ssp126"
"Surrey",170.70297029703,66.02284843869,"ssp126"
"Toronto",282.964788732394,65.4325955734407,"ssp126"
"Tucson",64.0346666666667,54.9546666666667,"ssp126"
"Tulsa",310.570048309179,182.816425120773,"ssp126"
"Vancouver",180.792410714286,78.4174107142857,"ssp126"
"Virginia Beach",119.090128755365,244.711587982833,"ssp126"
"Washington",119.465753424658,401.741552511416,"ssp126"
"Winnipeg",189.237288135593,27.4576271186441,"ssp126"
"Québec",653.863687150838,11.9865921787709,"ssp245"
"Montréal",466.957983193277,84.3224789915966,"ssp245"
"Albuquerque",73.2283464566929,61.7913385826772,"ssp245"
"Atlanta",68.9192546583851,527.344099378882,"ssp245"
"Austin",66.9,433.040625,"ssp245"
"Baltimore",228.118270799347,337.221044045677,"ssp245"
"Boston",242.654965753425,133.853595890411,"ssp245"
"Brampton",426.658040665434,101.571164510166,"ssp245"
"Calgary",231.791086350975,30.3064066852368,"ssp245"
"Charlotte",137.425483503982,407.590443686007,"ssp245"
"Chicago",323.769686706181,285.812870448772,"ssp245"
"Colorado Springs",201.190476190476,57.9047619047619,"ssp245"
"Columbus",185.288562434418,430.624344176285,"ssp245"
"Dallas",139.875757575758,320.611111111111,"ssp245"
"Denver",110.168975069252,100.761772853186,"ssp245"
"Detroit",299.301919720768,260.707678883072,"ssp245"
"Edmonton",294.14364640884,12.7044198895028,"ssp245"
"El Paso",77.9511278195489,69.9248120300752,"ssp245"
"Fort Worth",146.204637096774,333.629032258065,"ssp245"
"Fresno",156.430016863406,115.472175379427,"ssp245"
"Halifax",474.079792746114,39.7585492227979,"ssp245"
"Hamilton",343.198433420366,144.963446475196,"ssp245"
"Houston",182.113257243196,225.014047410009,"ssp245"
"Indianapolis",207.520533880903,408.933264887064,"ssp245"
"Jacksonville",228.839847473785,188.430886558627,"ssp245"
"Kansas City",389.574675324675,191.515151515152,"ssp245"
