"ID","bio1","bio3","bio4","bio5","bio6","bio12","bio13","bio14","bio15","City"
1227,22.0156669616699,12.9426670074463,244,31,2,16.6979999542236,45.989860534668,770.071411132812,40.8920021057129,"Mesa"
1228,22.0156669616699,12.9426670074463,244,31,2,16.6979999542236,45.989860534668,770.071411132812,40.8920021057129,"Mesa"
1229,21.9051666259766,12.8413333892822,252,32,2,16.7043323516846,46.017448425293,769.649841308594,40.8120002746582,"Mesa"
1230,21.9051666259766,12.8413333892822,252,32,2,16.7043323516846,46.017448425293,769.649841308594,40.8120002746582,"Mesa"
1231,21.7418327331543,12.6666669845581,267,34,2,16.6203327178955,45.8264427185059,770.490417480469,40.6559982299805,"Mesa"
1232,21.7418327331543,12.6666669845581,267,34,2,16.6203327178955,45.8264427185059,770.490417480469,40.6559982299805,"Mesa"
1233,21.992166519165,12.8386669158936,222,30,2,16.408332824707,45.4071655273438,774.077880859375,40.6279983520508,"Mesa"
1234,21.992166519165,12.8386669158936,222,30,2,16.408332824707,45.4071655273438,774.077880859375,40.6279983520508,"Mesa"
1235,22.0343341827393,12.9160003662109,234,31,2,16.6420001983643,45.8457298278809,772.46142578125,40.8520011901855,"Mesa"
1236,22.0343341827393,12.9160003662109,234,31,2,16.6420001983643,45.8457298278809,772.46142578125,40.8520011901855,"Mesa"
1237,22.0156669616699,12.9426670074463,244,31,2,16.6979999542236,45.989860534668,770.071411132812,40.8920021057129,"Mesa"
1238,22.0156669616699,12.9426670074463,244,31,2,16.6979999542236,45.989860534668,770.071411132812,40.8920021057129,"Mesa"
1239,22.0156669616699,12.9426670074463,244,31,2,16.6979999542236,45.989860534668,770.071411132812,40.8920021057129,"Mesa"
1240,21.9051666259766,12.8413333892822,252,32,2,16.7043323516846,46.017448425293,769.649841308594,40.8120002746582,"Mesa"
1241,21.9051666259766,12.8413333892822,252,32,2,16.7043323516846,46.017448425293,769.649841308594,40.8120002746582,"Mesa"
1242,21.7418327331543,12.6666669845581,267,34,2,16.6203327178955,45.8264427185059,770.490417480469,40.6559982299805,"Mesa"
1243,21.7418327331543,12.6666669845581,267,34,2,16.6203327178955,45.8264427185059,770.490417480469,40.6559982299805,"Mesa"
1244,21.7986660003662,12.7153329849243,235,31,2,16.75,45.9811134338379,769.922607421875,40.560001373291,"Mesa"
1245,21.992166519165,12.8386669158936,222,30,2,16.408332824707,45.4071655273438,774.077880859375,40.6279983520508,"Mesa"
1246,21.6356658935547,12.6186666488647,240,31,2,17.1026668548584,46.7592620849609,763.078674316406,40.447998046875,"Mesa"
1247,22.0343341827393,12.9160003662109,234,31,2,16.6420001983643,45.8457298278809,772.46142578125,40.8520011901855,"Mesa"
1248,21.6356658935547,12.6186666488647,240,31,2,17.1026668548584,46.7592620849609,763.078674316406,40.447998046875,"Mesa"
1249,22.0156669616699,12.9426670074463,244,31,2,16.6979999542236,45.989860534668,770.071411132812,40.8920021057129,"Mesa"
1250,22.0156669616699,12.9426670074463,244,31,2,16.6979999542236,45.989860534668,770.071411132812,40.8920021057129,"Mesa"
1251,21.9033336639404,12.7673330307007,259,33,2,17.0993328094482,46.3547325134277,776.70849609375,41.2439994812012,"Mesa"
1252,21.9051666259766,12.8413333892822,252,32,2,16.7043323516846,46.017448425293,769.649841308594,40.8120002746582,"Mesa"
1253,21.9033336639404,12.7673330307007,259,33,2,17.0993328094482,46.3547325134277,776.70849609375,41.2439994812012,"Mesa"
1254,21.7418327331543,12.6666669845581,267,34,2,16.6203327178955,45.8264427185059,770.490417480469,40.6559982299805,"Mesa"
1255,21.7986660003662,12.7153329849243,235,31,2,16.75,45.9811134338379,769.922607421875,40.560001373291,"Mesa"
1256,21.7986660003662,12.7153329849243,235,31,2,16.75,45.9811134338379,769.922607421875,40.560001373291,"Mesa"
1257,21.6356658935547,12.6186666488647,240,31,2,17.1026668548584,46.7592620849609,763.078674316406,40.447998046875,"Mesa"
1258,21.6356658935547,12.6186666488647,240,31,2,17.1026668548584,46.7592620849609,763.078674316406,40.447998046875,"Mesa"
