"","species","nobs","taxonKeys","Kingdom","Phylum","Class","Order","Family","Genus","fileName","AUCtest","np","na","cor","TPR","TNR","importantVars","importantValue","percentContribution","Features","Regularization","AUCtrain","AUC","AUCnull","AUCDiffpval"
"11","Accipiter striatus",1011134,9740253,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_striatus.csv",0.811850518448391,14847,15712,0.526600129552209,0.655353434035815,0.655978489812635,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","49.8146;10.5057;1.3269;6.6467;17.3247;5.764;8.6175","72.6408;5.2714;0.0896;2.367;13.6465;1.8554;4.1294","LQHP",0.5,0.812482289480128,NA,NA,NA
"12","Aceria fraxiniflora",167,6912571,"Animalia","Arthropoda",NA,"Trombidiformes","Eriophyidae","Aceria","Aceria_fraxiniflora.csv",0.535159090909091,22,2000,0.0113926765468537,0.534057649667406,0.50142,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","19.5523;12.3374;37.0427;0;16.6152;11.792;2.6604","28.1896;3.9108;42.2262;12.105;2.5588;5.2417;5.7679","LQ",0.5,0.687571428571429,NA,NA,NA
"13","Acericecis ocellaris",523,1596254,"Animalia","Arthropoda","Insecta","Diptera","Cecidomyiidae","Acericecis","Acericecis_ocellaris.csv",0.701767857142857,84,2000,0.14539753870443,0.685394488982345,0.516252069917203,"bio1;bio12;bio13;bio14;bio5;bio6","31.9096;3.2221;6.2859;2.1773;14.792;41.6132","14.4097;3.3764;2.4411;0.9263;21.439;57.4075","LQ",0.5,0.740049715909091,NA,NA,NA
"14","Achlyodes thraso",1144,1945477,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Achlyodes","Achlyodes_thraso.csv",0.897375,40,2000,0.266637157454787,0.880848513902205,0.515783317353787,"bio1;bio12;bio13;bio5;bio6","43.883;43.2375;0;0.4065;12.473","70.9577;21.919;0;0.6712;6.452","H",3,0.868462936046512,NA,NA,NA
"15","Achyra rantalis",2438,1892488,"Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Achyra","Achyra_rantalis.csv",0.768149253731343,134,2000,0.294289366242452,0.735602987700022,0.532215039577836,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","25.0719;15.7934;0.0012;1.2765;34.8882;4.6685;18.3003","45.2145;16.311;9.8612;0.2025;19.6543;1.7295;7.027","LQ",0.5,0.794228974121996,NA,NA,NA
"16","Acleris semipurpurana",333,1739867,"Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris_semipurpurana.csv",0.713757142857143,35,2000,0.116099096701799,0.705725295898706,0.507909441233141,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","21.9267;4.8483;15.1321;6.5781;26.2287;4.173;21.1132","14.2386;17.6286;5.0155;30.6826;17.2712;5.8513;9.3121","P",2,0.730774659863946,NA,NA,NA
"17","Acmaeodera flavomarginata",497,6003233,"Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Acmaeodera","Acmaeodera_flavomarginata.csv",0.8885,16,2000,0.159315845224344,0.880949460255152,0.506710500490677,"bio1;bio12;bio13;bio14;bio5;bio6","3.4503;18.5404;42.3089;20.2364;11.3303;4.1337","0.7814;35.8679;18.8751;8.5129;8.6276;27.3352","H",1.5,0.863070205479452,NA,NA,NA
"18","Acmaeodera mixta",390,6003363,"Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Acmaeodera","Acmaeodera_mixta.csv",0.744117647058824,51,2000,0.148536440069598,0.731406034899728,0.512491461100569,"bio1;bio12;bio13;bio14;bio5;bio6","11.7465;1.9458;26.9819;39.0089;0;20.3169","18.5605;14.5443;5.8559;29.2185;0.3296;31.4912","LQHP",2.5,0.76737125,NA,NA,NA
"19","Acmaeodera neglecta",253,6003362,"Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Acmaeodera","Acmaeodera_neglecta.csv",0.928739130434783,23,2000,0.263389564214966,0.917620137299771,0.507275341130604,"bio1;bio12;bio13;bio14;bio5;bio6","47.9863;2.1256;43.0011;0;6.8871;0","45.2389;0.1533;45.1419;1.213;8.0768;0.1761","LQ",2.5,0.857464972527473,NA,NA,NA
"20","Acmaeodera ornatoides",370,6003368,"Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Acmaeodera","Acmaeodera_ornatoides.csv",0.902640625,32,2000,0.239640934541102,0.888768115942029,0.513000483091787,"bio1;bio12;bio13;bio14;bio5;bio6","23.972;29.3974;0;17.3184;11.0495;18.2627","7.5249;3.6806;0;13.3826;14.1845;61.2274","H",3,0.885639423076923,NA,NA,NA
"21","Acmaeodera tubulus",525,6003251,"Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Acmaeodera","Acmaeodera_tubulus.csv",0.706847457627119,59,2000,0.132963934077355,0.694436464617447,0.51216054613936,"bio1;bio12;bio13;bio4;bio5;bio6","29.5427;5.6214;21.4728;30.2666;2.9958;10.1007","28.3752;31.4389;3.1162;29.0032;0.469;7.5975","LQHP",2,0.703490104166667,NA,NA,NA
"22","Acontia candefacta",1190,9038042,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acontia","Acontia_candefacta.csv",0.702408256880734,109,2000,0.161238022759606,0.681869183552241,0.520454136690647,"bio1;bio12;bio13;bio14;bio5;bio6","23.6299;6.0458;31.8142;27.5038;5.3726;5.6338","22.1868;10.7149;12.9396;19.6425;14.7289;19.7873","LQHP",3,0.716928488372093,NA,NA,NA
"23","Acridotheres tristis",74212,2489005,"Animalia","Chordata","Aves","Passeriformes","Sturnidae","Acridotheres","Acridotheres_tristis.csv",0.941640416189385,48,1746,0.524364070330815,0.897757594417077,0.597100198060027,"bio1;bio12;bio4;bio5;bio6","79.3677;2.8766;17.4889;0.1926;0.0742","14.5476;27.6068;3.0145;54.8263;0.0049","Q",0.5,0.959652818210634,NA,NA,NA
"24","Acris blanchardi",7901,2427610,"Animalia","Chordata","Amphibia","Anura","Hylidae","Acris","Acris_blanchardi.csv",0.776729304635762,604,2000,0.406227604434817,0.672100949076268,0.60440852520224,"bio1;bio12;bio13;bio5;bio6","59.9074;22.1845;9.5707;1.2341;7.1032","38.6601;19.3733;1.0151;1.5826;39.3689","LQHP",1,0.77001423164662,NA,NA,NA
"25","Acris crepitans",3859,2427616,"Animalia","Chordata","Amphibia","Anura","Hylidae","Acris","Acris_crepitans.csv",0.806235294117647,187,2000,0.372352941245837,0.757115894486137,0.548700420168067,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","29.9992;8.5746;1.1265;13.1601;5.5974;29.7389;11.8033","18.821;2.6407;8.204;15.073;0.7094;29.1907;25.3613","LQHP",1.5,0.829067517006803,NA,NA,NA
"26","Acrolophus cressoni",297,5122691,"Animalia","Arthropoda","Insecta","Lepidoptera","Acrolophidae","Acrolophus","Acrolophus_cressoni.csv",0.836461538461538,26,2000,0.155541146732899,0.826754877775286,0.509210884353742,"bio1;bio12;bio13;bio14;bio5;bio6","24.2942;31.603;0.2827;0.1388;16.7006;26.9806","23.9883;19.8704;11.7399;1.9808;9.8792;32.5415","H",1,0.761766990291262,NA,NA,NA
"27","Acrolophus panamae",271,5122683,"Animalia","Arthropoda","Insecta","Lepidoptera","Acrolophidae","Acrolophus","Acrolophus_panamae.csv",0.8241875,24,2000,0.142359496685419,0.815481986368062,0.508295034079844,"bio1;bio12;bio13;bio4;bio5;bio6","32.5521;12.6219;49.8866;4.8606;0.0788;0","21.9382;11.7856;57.3213;1.7634;7.1915;0","H",3,0.827764204545455,NA,NA,NA
"28","Acrolophus piger",831,5122526,"Animalia","Arthropoda","Insecta","Lepidoptera","Acrolophidae","Acrolophus","Acrolophus_piger.csv",0.7009,25,2000,0.0868853490606079,0.695214007782101,0.505567607003891,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","13.7015;4.4485;1.5476;4.8173;50.1067;3.2568;22.1216","9.9018;33.1304;11.2469;15.7904;21.6719;2.0185;6.24","P",1.5,0.779854838709677,NA,NA,NA
"29","Acrolophus popeanella",2536,5122702,"Animalia","Arthropoda","Insecta","Lepidoptera","Acrolophidae","Acrolophus","Acrolophus_popeanella.csv",0.717882183908046,174,2000,0.221911285284086,0.684889500874032,0.532776550552251,"bio1;bio12;bio13;bio14;bio5;bio6","16.8318;25.321;1.4773;5.189;31.8261;19.3548","17.2426;18.0008;5.5271;12.5307;21.7948;24.904","LQHP",2.5,0.703265945747801,NA,NA,NA
"30","Acrolophus texanella",722,5122538,"Animalia","Arthropoda","Insecta","Lepidoptera","Acrolophidae","Acrolophus","Acrolophus_texanella.csv",0.731653846153846,39,2000,0.12263936653484,0.722107387174566,0.509351727447217,"bio1;bio12;bio13;bio4;bio5;bio6","23.1635;20.2187;1.2564;29.351;11.5747;14.4357","46.8795;33.5489;2.8345;10.8744;0.959;4.9038","LQHP",1.5,0.708933064516129,NA,NA,NA
"31","Acrolophus walsinghami",139,5122556,"Animalia","Arthropoda","Insecta","Lepidoptera","Acrolophidae","Acrolophus","Acrolophus_walsinghami.csv",0.895506792058516,11,870,0.235384442242597,0.889117677339648,0.505204306114214,"bio1;bio12;bio13;bio4;bio5;bio6","24.2113;0.1585;51.8872;0;20.6638;3.0793","6.8144;21.4431;26.5288;25.6467;17.1247;2.4422","LQH",1.5,0.875372689326178,NA,NA,NA
"32","Acromyrmex versicolor",162,1320667,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Acromyrmex","Acromyrmex_versicolor.csv",0.765289473684211,19,2000,0.123980870060378,0.759398496240602,0.505594911937378,"bio12;bio13;bio14;bio3;bio4;bio6","12.0174;16.0756;5.102;53.1455;0;13.6595","8.6152;3.7259;25.0929;50.1475;0;12.4185","H",3,0.862695075757576,NA,NA,NA
"33","Acronicta americana",5222,1783008,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta","Acronicta_americana.csv",0.816913432835821,670,2000,0.47924039363039,0.689322960808629,0.627317991631799,"bio1;bio12;bio13;bio14;bio5;bio6","30.9035;6.8989;19.337;2.3593;7.9274;32.5739","40.6669;3.7686;6.2929;0.9384;3.0218;45.3116","H",0.5,0.816672444237918,NA,NA,NA
"34","Acronicta oblinita",1377,4301044,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta","Acronicta_oblinita.csv",0.765109677419355,155,2000,0.26670911141552,0.728703548944231,0.536110535405872,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","28.9541;24.5677;5.3042;10.0137;2.0469;8.3682;20.7453","20.6899;34.259;2.6771;1.3856;0.0651;10.3108;30.6126","LQHP",1,0.788005859375,NA,NA,NA
"35","Actias luna",12912,1865668,"Animalia","Arthropoda","Insecta","Lepidoptera","Saturniidae","Actias","Actias_luna.csv",0.756921007685739,1171,2000,0.421692087074499,0.62809010501627,0.628589071856287,"bio1;bio12;bio4;bio5;bio6","20.1518;7.2105;14.6028;2.7054;55.3295","25.0094;6.1388;2.7962;2.8276;63.2281","LQH",0.5,0.765043044439764,NA,NA,NA
"36","Actinemys marmorata",2009,2442896,"Animalia","Chordata","Reptilia","Testudines","Emydidae","Actinemys","Actinemys_marmorata.csv",0.87446812749004,251,2000,0.462317562107815,0.798445770347637,0.575091706539075,"bio1;bio12;bio13;bio14;bio5;bio6","16.8638;6.0449;0.7918;25.2793;17.3694;33.6508","2.5969;3.4839;5.2437;36.9442;14.9703;36.761","LQ",0.5,0.874476074718526,NA,NA,NA
"37","Actitis macularius",1667887,2481798,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis_macularius.csv",0.773968067328673,14419,15618,0.465258285785246,0.636470418619035,0.637046882033091,"bio1;bio12;bio13;bio14;bio5;bio6","71.1884;16.8955;1.2002;2.3253;1.6662;6.7243","81.9607;7.0317;0.1198;2.0987;0.7753;8.0138","LQHP",0.5,0.775671908790546,NA,NA,NA
"38","Aculus tetanothrix",463,4544042,"Animalia","Arthropoda",NA,"Trombidiformes","Eriophyidae","Aculus","Aculus_tetanothrix.csv",0.760943548387097,62,2000,0.304556633970667,0.74525215810995,0.515708920187793,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","16.0707;27.3249;6.0914;6.4802;28.5143;0.6119;14.9065","1.9525;7.8448;6.1186;23.8877;8.7493;1.8393;49.6078","LQHP",3,0.757419921875,NA,NA,NA
"39","Adalia bipunctata",886,1043097,"Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Adalia","Adalia_bipunctata.csv",0.691569444444444,72,2000,0.130376787824036,0.677958656330749,0.513480465116279,"bio1;bio12;bio13;bio14;bio5;bio6","25.8479;27.2694;2.0599;4.2333;7.3016;33.2879","32.7693;22.3483;1.7648;8.0693;6.2742;28.7741","LQ",0.5,0.709484268707483,NA,NA,NA
"40","Adelges tsugae",1190,2049739,"Animalia","Arthropoda","Insecta","Hemiptera","Adelgidae","Adelges","Adelges_tsugae.csv",0.812314516129032,124,2000,0.282251161414033,0.776898417150872,0.534959627329193,"bio1;bio12;bio13;bio14;bio3;bio4;bio6","14.3616;5.6007;15.3753;12.959;7.6739;10.4163;33.6132","18.8623;1.8158;8.8282;6.7173;14.6914;7.7336;41.3514","LQHP",1.5,0.823176045816733,NA,NA,NA
"41","Adonisea florida",794,1799634,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Adonisea","Adonisea_florida.csv",0.789255102040816,98,2000,0.23170295903184,0.76252571873436,0.526394187102634,"bio1;bio12;bio13;bio14;bio5;bio6","32.0073;0.1799;0.5424;9.4779;9.7172;48.0751","36.8903;0.1121;0.5877;12.883;6.7691;42.7579","LQHP",2.5,0.771190231362468,NA,NA,NA
"42","Aechmophorus clarkii",157872,2482032,"Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Aechmophorus","Aechmophorus_clarkii.csv",0.788340277777778,864,2000,0.466928133880908,0.65438215398044,0.633753883235137,"bio1;bio12;bio13;bio14;bio5;bio6","13.0782;0.7791;3.5571;49.2895;5.6023;27.6937","9.4282;0.579;12.3619;23.2139;5.5403;48.8767","LQH",0.5,0.789568739242685,NA,NA,NA
"43","Aechmophorus occidentalis",532057,2482033,"Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Aechmophorus","Aechmophorus_occidentalis.csv",0.784030365418337,2560,2994,0.486119744296189,0.641556925212076,0.64206990161294,"bio1;bio12;bio13;bio14;bio5;bio6","25.8677;4.0996;2.7697;19.4821;2.3513;45.4295","21.9356;2.6636;3.3302;17.7904;3.8953;50.385","LQHP",0.5,0.782784793889242,NA,NA,NA
"44","Aedes aegypti",25102,1651891,"Animalia","Arthropoda","Insecta","Diptera","Culicidae","Aedes","Aedes_aegypti.csv",0.878350574712644,87,2000,0.398253164983821,0.846926078245281,0.530682568807339,"bio1;bio12;bio13;bio14;bio5;bio6","34.3123;16.9434;18.5348;2.9073;10.0822;17.22","27.3034;15.8229;14.7722;21.8389;4.784;15.4786","LQHP",1.5,0.881017480211082,NA,NA,NA
"45","Aedes albopictus",19959,1651430,"Animalia","Arthropoda","Insecta","Diptera","Culicidae","Aedes","Aedes_albopictus.csv",0.824034482758621,261,2000,0.425272723314029,0.756153305203938,0.567441455696203,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","25.1703;9.2145;7.1138;3.5124;21.5223;6.7651;26.7016","23.0648;21.794;3.8033;8.6022;13.9926;8.2196;20.5235","H",0.5,0.823264134709931,NA,NA,NA
"46","Aegolius acadicus",67080,5232207,"Animalia","Chordata","Aves","Strigiformes","Strigidae","Aegolius","Aegolius_acadicus.csv",0.796203163211801,2586,2739,0.510315583386172,0.647648824547348,0.648158593364567,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","45.8062;8.8862;4.4829;9.8397;14.4794;3.7192;12.7863","49.6599;3.2906;2.3462;3.3853;31.3128;3.8199;6.1852","LQHP",0.5,0.799748293702433,NA,NA,NA
"47","Aeronautes saxatalis",204191,2477108,"Animalia","Chordata","Aves","Apodiformes","Apodidae","Aeronautes","Aeronautes_saxatalis.csv",0.765526824880418,2433,2578,0.449065029676618,0.632374174790575,0.632767436422732,"bio1;bio12;bio13;bio14;bio5;bio6","16.1439;7.428;4.8111;13.3006;11.5223;46.7942","3.399;1.6666;0.5169;18.8025;9.1444;66.4707","LQHP",0.5,0.761736327106672,NA,NA,NA
"48","Aeshna canadensis",2614,1425205,"Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna","Aeshna_canadensis.csv",0.778421455938697,261,2000,0.316534303310848,0.720079174547747,0.558057357594937,"bio1;bio12;bio13;bio14;bio3;bio4;bio5;bio6","30.8863;0.791;5.9472;6.6025;34.1142;4.2909;1.8366;15.5312","32.1324;1.0362;0.7101;16.7146;27.5291;2.256;1.1229;18.4986","P",0.5,0.791457655502392,NA,NA,NA
"49","Aeshna interrupta",2303,1425268,"Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna","Aeshna_interrupta.csv",0.751647773279352,247,2000,0.278117814582368,0.701104453441296,0.5502968,"bio1;bio12;bio13;bio14;bio3;bio5;bio6","33.2911;12.8059;17.5915;21.8187;5.8714;2.8402;5.7812","51.6131;13.3795;10.1635;13.2217;2.7863;4.6079;4.228","LQHP",0.5,0.752378054989817,NA,NA,NA
"50","Aeshna palmata",1804,1425279,"Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna","Aeshna_palmata.csv",0.712303867403315,181,2000,0.196718099302467,0.679156711960579,0.532989864864865,"bio1;bio12;bio13;bio14;bio5;bio6","30.7078;25.7209;13.1434;22.9859;2.0925;5.3495","19.9532;1.9841;0.334;69.1673;0.4014;8.1601","LQ",2,0.686516401933702,NA,NA,NA
"51","Aeshna umbrosa",4211,1425250,"Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna","Aeshna_umbrosa.csv",0.78981548974943,439,2000,0.385296320541213,0.700874197125607,0.588702149791956,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","30.6976;16.5898;14.1362;9.6953;17.9468;4.5303;6.404","39.131;17.5433;2.6865;1.7576;3.9993;3.682;31.2004","LQ",0.5,0.774086653386454,NA,NA,NA
"52","Agama agama",1152,5226308,"Animalia","Chordata","Reptilia","Squamata","Agamidae","Agama","Agama_agama.csv",0.909000468164794,36,1424,0.401552812629873,0.893647738209817,0.512814828432698,"bio1;bio12;bio13;bio4;bio5;bio6","81.3744;5.5665;1.9191;2.586;3.8;4.7539","40.8852;20.5268;2.8989;15.436;16.9028;3.3503","H",1.5,0.945462936885581,NA,NA,NA
"53","Agapornis personatus",143,2479553,"Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Agapornis","Agapornis_personatus.csv",0.720334553058024,2,1913,0.0174365959260921,0.718905472636816,0.500931307914167,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","42.5812;0;0;0;57.4188;0;0","69.4882;0;0;0;30.5118;0;0","Q",1,0.83690678520068,NA,NA,NA
"54","Agapornis roseicollis",16788,9770031,"Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Agapornis","Agapornis_roseicollis.csv",0.953707317073171,41,2000,0.566891779762831,0.934772451172788,0.516014846743295,"bio1;bio12;bio13;bio14;bio5;bio6","24.9355;4.1304;5.705;0.2031;58.6047;6.4213","31.2757;10.0276;0.7535;6.6021;33.1202;18.2209","LQHP",2.5,0.935749242424242,NA,NA,NA
"55","Agapostemon melliventris",591,5042878,"Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Agapostemon","Agapostemon_melliventris.csv",0.749541666666667,36,2000,0.164243265159045,0.740081274729975,0.509269971126083,"bio1;bio12;bio13;bio14;bio5;bio6","24.9192;16.6017;13.7278;36.9603;1.0606;6.7304","21.1445;11.5629;36.9057;19.3595;1.7023;9.3251","P",2.5,0.756962667785235,NA,NA,NA
"56","Agapostemon sericeus",703,5042857,"Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Agapostemon","Agapostemon_sericeus.csv",0.771521739130435,46,2000,0.163497063155078,0.758589961453973,0.512611534795043,"bio1;bio12;bio13;bio14;bio5;bio6","24.3717;8.3226;23.6831;5.3181;16.0166;22.2879","36.3922;13.3542;11.8572;2.5901;13.2985;22.5078","LQH",1,0.790590757978723,NA,NA,NA
"57","Agapostemon texanus",3339,5042859,"Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Agapostemon","Agapostemon_texanus.csv",0.75204954954955,111,2000,0.244252030020266,0.726066281721578,0.525732944344704,"bio1;bio12;bio13;bio14;bio5;bio6","36.7885;11.1089;9.5236;31.5886;10.8485;0.1418","32.0224;20.3695;8.3988;28.0024;10.3764;0.8305","LQ",0.5,0.768234137744035,NA,NA,NA
"58","Agapostemon virescens",13325,5042879,"Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Agapostemon","Agapostemon_virescens.csv",0.8396890625,320,2000,0.452373796437426,0.756594860166289,0.582696900982615,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","18.1373;6.018;25.8747;11.9855;10.4008;13.4803;14.1033","30.974;15.958;5.1765;3.3942;7.7291;7.0528;29.7153","LQHP",0.5,0.841206230590062,NA,NA,NA
"59","Agelaius tricolor",44923,2484445,"Animalia","Chordata","Aves","Passeriformes","Icteridae","Agelaius","Agelaius_tricolor.csv",0.884131329113924,632,2000,0.607596788254232,0.734865288584369,0.648340978593272,"bio1;bio12;bio13;bio14;bio5;bio6","33.7113;0.9633;3.3181;28.1371;19.1534;14.7167","12.8461;0.2037;4.0213;6.8312;20.9411;55.1566","LQHP",0.5,0.894831654818325,NA,NA,NA
"60","Agkistrodon contortrix",9070,9215881,"Animalia","Chordata","Reptilia","Squamata","Viperidae","Agkistrodon","Agkistrodon_contortrix.csv",0.749648120300752,665,2000,0.376239113247289,0.649587097239502,0.599890887290168,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","9.2814;4.6203;19.503;42.2859;16.9512;3.2886;4.0695","19.4476;11.1789;5.5398;31.9025;15.6586;1.4515;14.821","LQHP",0.5,0.753573138795361,NA,NA,NA
"61","Agkistrodon piscivorus",6275,9105722,"Animalia","Chordata","Reptilia","Squamata","Viperidae","Agkistrodon","Agkistrodon_piscivorus.csv",0.765590625,480,2000,0.370148167812437,0.678951730726006,0.586418408631153,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","33.274;4.4304;8.4423;4.3679;9.4811;21.3654;18.639","38.4579;19.4414;4.2115;11.968;1.5502;13.9423;10.4288","LQH",0.5,0.767227569018405,NA,NA,NA
"62","Aglais milberti",2078,1894896,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais","Aglais_milberti.csv",0.716654545454545,275,2000,0.234519765369371,0.669372599231754,0.547143974960876,"bio1;bio12;bio13;bio14;bio3;bio5;bio6","27.6455;17.4488;7.0063;12.604;27.565;1.5009;6.2295","18.7728;30.9559;4.3703;9.8293;15.387;2.4621;18.2225","P",0.5,0.720485340196956,NA,NA,NA
