"datasetKey","scientificName","acceptedScientificName","kingdom","genus","species","decimalLongitude","decimalLatitude","coordinateUncertaintyInMeters","year","month","day","eventDate","verbatimEventDate"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-90.623446,36.418822,5,2020,1,3,"2020-01-03T09:09:59","Fri Jan 03 2020 09:09:59 GMT-0600 (CST)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-73.652741,41.660785,33,2020,1,3,"2020-01-03T13:26:00","2020-01-03 1:26:00 PM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-79.793716,35.567848,17,2020,1,4,"2020-01-04T09:55:52","2020-01-04 9:55:52 AM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-79.802025,35.7738,5,2020,1,11,"2020-01-11T23:21:14","Sat Jan 11 2020 23:21:14 GMT-0500 (EST)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-79.757675,35.627469,87,2020,1,12,"2020-01-12T00:00:00","2020-01-12"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-78.006981,37.059353,NA,2020,1,12,"2020-01-12T10:25:31","2020-01-12 10:25:31 AM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-82.460953,35.319288,11154,2020,1,15,"2020-01-15T14:51:14","2020-01-15 2:51:14 PM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-82.868845,34.750281,4191,2020,1,15,"2020-01-15T15:09:42","Wed Jan 15 2020 15:09:42 GMT-0500 (EST)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-79.954964,35.614372,NA,2020,1,11,"2020-01-11T20:42:39","2020-01-11 8:42:39 PM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-79.321335,44.807217,1,2020,1,27,"2020-01-27T11:32:00","2020/01/27 11:32 AM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-79.321332,44.807219,1,2020,1,27,"2020-01-27T11:34:00","2020/01/27 11:34 AM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-79.321331,44.807215,15,2020,1,27,"2020-01-27T11:32:00","2020/01/27 11:32 AM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-79.321334,44.807221,1,2020,1,27,"2020-01-27T11:34:00","2020/01/27 11:34 AM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-79.321329,44.807216,1,2020,1,27,"2020-01-27T11:32:00","2020/01/27 11:32 AM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-79.321334,44.807219,1,2020,1,27,"2020-01-27T11:34:00","2020/01/27 11:34 AM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-77.394837,39.058436,6,2020,1,27,"2020-01-27T14:58:45","Mon Jan 27 2020 14:58:45 GMT-0500 (EST)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-73.581712,41.180447,110,2020,1,10,"2020-01-10T15:46:00","2020/01/10 3:46 PM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-90.066882,35.31065,NA,2020,1,11,"2020-01-11T12:22:57","2020-01-11 12:22:57 PM CST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-77.373705,39.052292,58,2020,1,19,"2020-01-19T18:55:55","Sun Jan 19 2020 18:55:55 GMT-0500 (EST)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-78.994392,37.977027,349,2020,1,25,"2020-01-25T22:17:49","2020-01-25 10:17:49 PM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-82.192283,34.82693,10,2020,1,4,"2020-01-04T14:40:15","Sat Jan 04 2020 14:40:15 GMT-0500 (EST)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-78.318175,37.185364,4,2020,2,11,"2020-02-11T02:53:00","2020/02/11 2:53 AM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-81.575462,41.216637,4,2020,2,13,"2020-02-13T16:44:09","Thu Feb 13 2020 16:44:09 GMT-0500 (EST)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-78.325721,37.154952,26,2020,2,11,"2020-02-11T03:22:00","2020-02-11 3:22 am"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-78.280281,37.062089,3727,2020,2,10,"2020-02-10T22:31:00","2020/02/10 10:31 PM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-77.590689,37.263613,5,2020,2,22,"2020-02-22T14:20:27","2020-02-22 2:20:27 PM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-79.344836,36.88268,28476,2020,2,12,"2020-02-12T01:00:00","2020/02/12 1:00 AM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-77.337826,38.438072,24,2020,2,2,"2020-02-02T13:25:33","Sun Feb 02 2020 13:25:33 GMT-0500 (EST)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-83.767158,35.639611,28649,2020,2,5,"2020-02-05T21:45:00","2020-02-05 9:45:00 PM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-77.393291,39.059633,127,2020,2,4,"2020-02-04T15:10:00","2020/02/04 3:10 PM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-77.800363,37.97514,1981474,2020,2,7,"2020-02-07T14:19:01","Fri Feb 07 2020 14:19:01 GMT-0500 (EST)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum (Shaw, 1802)","Animalia","Ambystoma","Ambystoma maculatum",-78.591912,37.924428,22,2020,2,15,"2020-02-15T13:03:39","Sat Feb 15 2020 13:03:39 GMT-0500 (EST)"
