"datasetKey","scientificName","acceptedScientificName","kingdom","genus","species","decimalLongitude","decimalLatitude","coordinateUncertaintyInMeters","year","month","day","eventDate","verbatimEventDate"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-75.988996,39.47417,8,2020,1,1,"2020-01-01T15:04:00","2020/01/01 3:04 PM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-73.516869,40.683105,50,2020,1,1,"2020-01-01T11:17:00","2020/01/01 11:17 AM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-74.988828,39.834103,31,2020,1,4,"2020-01-04T16:18:00","2020/01/04 4:18 PM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-87.756973,42.095072,15,2020,1,1,"2020-01-01T10:26:00","2020/01/01 10:26 AM CST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-79.879618,43.294733,NA,2020,1,2,"2020-01-02T11:04:00","2020/01/02 11:04 AM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-79.738271,43.218813,185,2020,1,6,"2020-01-06T14:49:00","2020/01/06 2:49 PM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-88.019737,42.420841,5,2020,1,10,"2020-01-10T09:08:00","2020/01/10 9:08 AM CST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-79.738271,43.218813,185,2020,1,11,"2020-01-11T15:12:00","2020/01/11 3:12 PM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-71.283048,42.170925,12,2020,1,12,"2020-01-12T10:26:28","2020-01-12 10:26:28 AM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-75.702203,45.384907,NA,2020,1,18,"2020-01-18T14:14:00","2020/01/18 2:14 PM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-87.050001,35.556443,84,2020,1,18,"2020-01-18T14:42:54","2020-01-18 2:42:54 PM CST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-75.702715,45.387166,12,2020,1,16,"2020-01-16T00:00:00","2020-01-16"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-73.568532,45.562765,178,2020,1,23,"2020-01-23T18:43:01","Thu Jan 23 2020 18:43:01 GMT-0500 (EST)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-81.800678,41.047013,NA,2020,1,23,"2020-01-23T09:38:00","2020/01/23 9:38 AM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-76.757773,42.442716,156,2020,1,26,"2020-01-26T10:03:00","2020/01/26 10:03 AM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus velox (A.Wilson, 1812)","Accipiter striatus velox (A.Wilson, 1812)","Animalia","Accipiter","Accipiter striatus",-74.007902,40.89308,31,2020,1,29,"2020-01-29T14:39:18","Wed Jan 29 2020 14:39:18 GMT-0500 (EST)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-80.514867,43.424755,23,2020,1,31,"2020-01-31T11:43:00","2020/01/31 11:43 AM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-77.038042,39.02473,NA,2020,1,2,"2020-01-02T10:07:00","2020/01/02 10:07 AM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-76.746731,39.288488,2,2020,1,26,"2020-01-26T00:00:00","2020/01/26 2:31 PM UTC"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-76.746731,39.288499,2,2020,1,26,"2020-01-26T00:00:00","2020/01/26 2:32 PM UTC"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-76.551025,38.996357,413,2020,1,9,"2020-01-09T12:49:00","2020/01/09 12:49 PM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-75.702787,45.387168,NA,2020,1,15,"2020-01-15T10:26:00","2020/01/15 10:26 AM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-75.62963,45.228195,48,2020,2,4,"2020-02-04T09:08:13","Tue Feb 04 2020 09:08:13 GMT-0500 (EST)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-77.498321,39.030334,10,2020,2,17,"2020-02-17T17:13:00","2020/02/17 5:13 PM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-76.388167,44.141618,2,2020,2,13,"2020-02-13T08:04:00","2020/02/13 8:04 AM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-71.144022,41.741486,NA,2020,2,16,"2020-02-16T13:08:23","2020-02-16 1:08:23 PM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-87.49641,37.475213,8,2020,2,16,"2020-02-16T17:19:00","2020/02/16 5:19 PM CST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-89.362542,43.145402,1144,2020,2,2,"2020-02-02T11:19:27","Sun Feb 02 2020 11:19:27 GMT-0600 (CST)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-79.147835,43.78443,31,2020,2,26,"2020-02-26T09:17:59","Wed Feb 26 2020 09:17:59 GMT-0500 (EST)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-89.727216,43.588938,NA,2020,2,24,"2020-02-24T12:03:00","2020/02/24 12:03 PM CST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-85.132327,42.277635,1953,2020,2,29,"2020-02-29T15:47:00","2020/02/29 3:47 PM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-71.369913,42.280554,27661,2020,2,19,"2020-02-19T11:32:14","Wed Feb 19 2020 11:32:14 GMT-0500 (EST)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-79.838384,42.215916,19,2020,2,22,"2020-02-22T10:32:17","Sat Feb 22 2020 10:32:17 GMT-0500 (EST)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-75.460105,45.163925,5,2020,2,23,"2020-02-23T12:13:35","Sun Feb 23 2020 12:13:35 GMT-0500 (EST)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-79.809463,43.187318,137,2020,2,3,"2020-02-03T16:53:49","Mon Feb 03 2020 16:53:49 GMT-0500 (EST)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-80.854385,44.22194,22906,2020,2,8,"2020-02-08T13:08:39","2020-02-08 1:08:39 PM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-68.992343,44.494087,32,2020,3,1,"2020-03-01T13:36:22","Sun Mar 01 2020 13:36:22 GMT-0500 (EST)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-71.649339,42.457145,15,2020,3,3,"2020-03-03T10:40:00","2020/03/03 10:40 AM EST"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-74.008081,40.892897,65,2020,3,2,"2020-03-02T11:47:46","Mon Mar 02 2020 11:47:46 GMT-0500 (EST)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-83.189362,40.025686,NA,2020,3,3,"2020-03-03T15:05:44","Tue Mar 03 2020 15:05:44 GMT-0500 (EST)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-76.548167,39.416086,8,2020,3,16,"2020-03-16T09:09:00","2020/03/16 9:09 AM EDT"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Accipiter striatus Vieillot, 1808","Accipiter striatus Vieillot, 1808","Animalia","Accipiter","Accipiter striatus",-79.654941,43.550193,10,2020,3,17,"2020-03-17T07:03:00","2020/03/17 7:03 AM EDT"
