"datasetKey","scientificName","acceptedScientificName","kingdom","genus","species","decimalLongitude","decimalLatitude","year","month","day","eventDate","verbatimEventDate","coordinateUncertaintyInMeters"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Prunus serotina Ehrh.","Prunus serotina Ehrh.","Plantae","Prunus","Prunus serotina",-73.51722,40.681928,2020,1,1,"2020-01-01T11:14:47","Wed Jan 01 2020 11:14:47 GMT-0500 (EST)",4
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Rhus typhina L.","Rhus typhina L.","Plantae","Rhus","Rhus typhina",-81.263584,43.042088,2020,1,2,"2020-01-02T17:03:00","2020/01/02 5:03 PM EST",4
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Buteo jamaicensis (Gmelin, 1788)","Buteo jamaicensis (Gmelin, 1788)","Animalia","Buteo","Buteo jamaicensis",-89.615622,39.869582,2020,1,1,"2020-01-01T14:23:00","2020/01/01 2:23 PM CST",15
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Sayornis phoebe (Latham, 1790)","Sayornis phoebe (Latham, 1790)","Animalia","Sayornis","Sayornis phoebe",-87.980395,42.283334,2020,1,1,"2020-01-01T08:55:00","2020/01/01 8:55 AM CST",26
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Haliaeetus leucocephalus (Linnaeus, 1766)","Haliaeetus leucocephalus (Linnaeus, 1766)","Animalia","Haliaeetus","Haliaeetus leucocephalus",-90.216505,36.942195,2020,1,1,"2020-01-01T10:33:18","Wed Jan 01 2020 10:33:18 GMT-0600 (CST)",24
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Reynoutria japonica Houtt.","Reynoutria japonica Houtt.","Plantae","Reynoutria","Reynoutria japonica",-73.515738,40.67542,2020,1,1,"2020-01-01T10:31:02","Wed Jan 01 2020 10:31:02 GMT-0500 (EST)",4
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Apiosporina morbosa (Schwein.) Arx","Apiosporina morbosa (Schwein.) Arx","Fungi","Apiosporina","Apiosporina morbosa",-73.517212,40.681922,2020,1,1,"2020-01-01T11:14:50","Wed Jan 01 2020 11:14:50 GMT-0500 (EST)",4
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Odocoileus virginianus (Zimmermann, 1780)","Odocoileus virginianus (Zimmermann, 1780)","Animalia","Odocoileus","Odocoileus virginianus",-76.887637,39.201336,2020,1,1,"2020-01-01T12:02:11","Wed Jan 01 2020 12:02:11 GMT-0500 (EST)",5
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Cygnus olor (Gmelin, 1789)","Cygnus olor (Gmelin, 1789)","Animalia","Cygnus","Cygnus olor",-70.274222,41.631064,2020,1,1,"2020-01-01T07:46:00","2020/01/01 7:46 AM EST",31
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Citrus trifoliata L.","Citrus trifoliata L.","Plantae","Citrus","Citrus trifoliata",-77.523017,39.120617,2020,1,1,"2020-01-01T14:03:59","Wed Jan 01 2020 14:03:59 GMT-0500 (EST)",24
