"datasetKey","scientificName","acceptedScientificName","kingdom","genus","species","decimalLongitude","decimalLatitude","coordinateUncertaintyInMeters","year","month","day","eventDate","verbatimEventDate"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-80.056603,42.546681,10,2020,8,15,"2020-08-15T09:15:00","2020/08/15 9:15 AM EDT"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-81.793034,45.312039,27190,2020,9,13,"2020-09-13T11:13:51","2020-09-13 11:13:51 AM EDT"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-83.848485,46.183893,NA,2020,9,6,"2020-09-06T08:53:15","2020-09-06 8:53:15 AM EDT"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-77.976053,46.20667,4,2020,9,2,"2020-09-02T09:54:00","2020/09/02 9:54 AM EDT"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-83.847994,46.183597,NA,2020,9,6,"2020-09-06T09:16:45","2020-09-06 9:16:45 AM EDT"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-81.682593,45.21761,4,2020,9,6,"2020-09-06T17:28:00","2020/09/06 5:28 PM EDT"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-84.373931,46.845756,NA,2020,9,4,"2020-09-04T11:34:14","2020-09-04 11:34:14 AM EDT"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-78.261002,45.543386,4,2020,9,26,"2020-09-26T15:22:00","2020/09/26 3:22 PM EDT"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-84.471743,46.616956,NA,2020,10,2,"2020-10-02T13:24:13","2020-10-02 1:24:13 PM EDT"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-80.414712,43.508645,6,2020,11,4,"2020-11-04T13:53:09","Wed Nov 04 2020 13:53:09 GMT-0500 (EST)"
