internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
10030,Hexanchus griseus,ANIMALIA,CHORDATA,CHONDRICHTHYES,HEXANCHIFORMES,HEXANCHIDAE,Hexanchus,griseus,,,,,"(Bonnaterre, 1788)",
1078,Ambloplites cavifrons,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CENTRARCHIDAE,Ambloplites,cavifrons,,,,,"Cope, 1868",
11200,Lamna nasus,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,LAMNIDAE,Lamna,nasus,,,,,"(Bonnaterre, 1788)",
11242,Lampsilis rafinesqueana,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Lampsilis,rafinesqueana,,,,,"Frierson, 1927",
11249,Lampsilis abrupta,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Lampsilis,abrupta,,,,,"(Say, 1831)",
11250,Hamiota altilis,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Hamiota,altilis,,,,,"(Conrad, 1834)",
11256,Obovaria haddletoni,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Obovaria,haddletoni,,,,,"(Athearn, 1964)","<span class=""copy"">This species is very similar in appearance to the sympatric <span class=""copy""><em>Villosa choctawensis </em>Athearn, 1964, so that the taxonomic status of this species requires verification (NatureServe 2010)<span class=""copy"">.</span>"
11257,Lampsilis ornata,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Lampsilis,ornata,,,,,"(Conrad, 1835)",
11263,Lampsilis splendida,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Lampsilis,splendida,,,,,"(Lea, 1838)",
11361,Lasmigona subviridis,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Lasmigona,subviridis,,,,,"Conrad, 1835",
11479,Lemiox rimosus,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Lemiox,rimosus,,,,,"(Rafinesque, 1831)",
11686,Leptodea ochracea,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Leptodea,ochracea,,,,,"(Say, 1817)",
11785,Leptoxis taeniata,ANIMALIA,MOLLUSCA,GASTROPODA,SORBEOCONCHA,PLEUROCERIDAE,Leptoxis,taeniata,,,,,"(Conrad, 1834)",
11922,Pleuronaia dolabelloides,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Pleuronaia,dolabelloides,,,,,"(Lea, 1840)",
12395,Lucania interioris,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,FUNDULIDAE,Lucania,interioris,,,,,"Hubbs &amp; Miller, 1965",
